note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
497,66,1/4,333/4,266,0,adaptation,0,18,True,0
498,67,1/8,167/2,267,0,adaptation,0,18,False,0
499,66,1/8,669/8,268,0,ornamentation,0,18,False,0
500,64,1/8,335/4,269,0,adaptation,0,18,False,0
501,66,1/8,671/8,270,0,ornamentation,0,18,False,0
506,67,1/4,84,271,0,match,0,18,True,0
827,69,1/2,134,446,0,match,0,19,True,1
892,62,1/8,1173/8,484,0,ornamentation,0,19,False,1
893,64,1/8,587/4,485,0,ornamentation,0,19,False,1
894,65,1/8,1175/8,486,0,ornamentation,0,19,False,1
895,67,1/8,147,487,0,adaptation,0,19,False,1
896,69,1/8,1177/8,488,0,ornamentation,0,19,False,1
897,70,1/8,589/4,489,0,ornamentation,0,19,False,1
898,69,1/8,1179/8,490,0,ornamentation,0,19,False,1
899,70,1/8,295/2,491,0,ornamentation,0,19,False,1
900,69,1/8,1181/8,492,0,ornamentation,0,19,False,1
901,67,1/8,591/4,493,0,ornamentation,0,19,False,1
902,69,1/8,1183/8,494,0,ornamentation,0,19,False,1
907,70,1,148,495,0,match,0,19,True,1
949,67,1/4,311/2,512,0,repetition,0,20,True,2
954,66,1/8,1249/8,515,0,repetition,0,20,False,2
955,67,1/8,625/4,516,0,adaptation,0,20,False,2
956,66,1/8,1251/8,517,0,ornamentation,0,20,False,2
957,67,1/8,313/2,518,0,adaptation,0,20,False,2
958,66,1/8,1253/8,519,0,ornamentation,0,20,False,2
959,64,1/8,627/4,520,0,ornamentation,0,20,False,2
960,66,1/8,1255/8,521,0,ornamentation,0,20,False,2
964,67,1/2,157,522,0,match,0,20,True,2
790,59,1/4,513/4,423,1,ornamentation,0,21,True,0
791,60,1/8,257/2,424,1,repetition,0,21,False,0
792,59,1/8,1029/8,425,1,ornamentation,0,21,False,0
793,60,1/16,515/4,426,1,ornamentation,0,21,True,0
792,59,1/8,1029/8,425,1,ornamentation,0,22,True,1
793,60,1/16,515/4,426,1,ornamentation,0,22,False,1
794,59,1/16,2061/16,427,1,ornamentation,0,22,False,1
795,57,1/16,1031/8,428,1,ornamentation,0,22,False,1
796,59,1/16,2063/16,429,1,ornamentation,0,22,False,1
797,60,1/2,129,430,1,match,1,22,True,1
842,60,1/4,137,456,1,match,0,23,True,2
889,57,1/8,585/4,481,1,ornamentation,0,23,False,2
890,58,1/8,1171/8,482,1,ornamentation,0,23,False,2
891,60,1/8,293/2,483,1,repetition,0,23,False,2
906,67,1,148,495,1,match,1,23,True,2
1036,62,1/4,167,555,1,repetition,1,24,True,3
1038,66,1/8,669/4,556,1,ornamentation,0,24,False,3
1039,64,1/8,1339/8,557,1,ornamentation,0,24,False,3
1042,62,1/4,335/2,558,1,match,1,24,True,3
96,58,1/4,26,53,2,match,1,15,True,0
99,57,1/8,105/4,54,2,ornamentation,0,15,False,0
100,58,1/8,211/8,55,2,ornamentation,0,15,False,0
101,60,1/8,53/2,56,2,ornamentation,0,15,False,0
102,58,1/8,213/8,57,2,ornamentation,0,15,False,0
103,57,1/8,107/4,58,2,ornamentation,0,15,False,0
104,58,1/8,215/8,59,2,ornamentation,0,15,False,0
106,60,1/4,27,60,2,match,0,15,True,0
714,57,1/4,457/4,380,2,ornamentation,0,16,True,1
715,58,1/8,229/2,381,2,ornamentation,0,16,False,1
716,57,1/8,917/8,382,2,ornamentation,0,16,False,1
717,58,1/8,459/4,383,2,repetition,0,16,False,1
718,60,1/8,919/8,384,2,ornamentation,0,16,False,1
721,62,1/2,115,385,2,match,1,16,True,1
808,60,1/4,263/2,436,2,match,1,17,True,2
816,59,1/8,1061/8,441,2,ornamentation,0,17,False,2
817,57,1/8,531/4,442,2,ornamentation,0,17,False,2
818,59,1/8,1063/8,443,2,ornamentation,0,17,False,2
819,60,1/2,133,444,2,match,2,17,True,2
107,63,1/4,27,60,3,match,1,2,True,0
108,62,1/8,109/4,61,3,ornamentation,0,2,False,0
109,63,1/8,219/8,62,3,ornamentation,0,2,False,0
110,65,1/8,55/2,63,3,ornamentation,0,2,False,0
111,63,1/8,221/8,64,3,ornamentation,0,2,False,0
112,62,1/8,111/4,65,3,ornamentation,0,2,False,0
113,60,1/8,223/8,66,3,ornamentation,0,2,False,0
117,62,1/4,28,67,3,match,2,2,True,0
192,60,1/4,39,110,3,match,2,3,True,1
195,62,1/8,157/4,111,3,ornamentation,0,3,False,1
196,63,1/8,315/8,112,3,ornamentation,0,3,False,1
197,65,1/8,79/2,113,3,ornamentation,0,3,False,1
198,63,1/8,317/8,114,3,ornamentation,0,3,False,1
199,62,1/8,159/4,115,3,ornamentation,0,3,False,1
200,60,1/8,319/8,116,3,ornamentation,0,3,False,1
203,57,1,40,117,3,match,2,3,True,1
306,57,1/4,225/4,165,3,ornamentation,0,4,True,2
308,58,1/8,113/2,166,3,repetition,0,4,False,2
309,57,1/8,453/8,167,3,ornamentation,0,4,False,2
310,58,1/8,227/4,168,3,repetition,0,4,False,2
311,60,1/8,455/8,169,3,ornamentation,0,4,False,2
314,58,1/4,57,170,3,repetition,1,4,True,2
392,55,1/4,68,205,3,repetition,3,5,True,3
396,53,1/8,273/4,206,3,adaptation,0,5,False,3
397,55,1/8,547/8,207,3,ornamentation,0,5,False,3
398,56,1/8,137/2,208,3,adaptation,0,5,False,3
399,55,1/8,549/8,209,3,ornamentation,0,5,False,3
400,53,1/8,275/4,210,3,ornamentation,0,5,False,3
401,51,1/8,551/8,211,3,ornamentation,0,5,False,3
402,53,1/8,69,212,3,adaptation,0,5,False,3
403,51,1/8,553/8,213,3,ornamentation,0,5,False,3
404,50,1/8,277/4,214,3,adaptation,0,5,False,3
405,48,1/8,555/8,215,3,ornamentation,0,5,False,3
406,50,1/8,139/2,216,3,adaptation,0,5,False,3
415,58,1/2,141/2,221,3,adaptation,0,5,True,3
529,60,1/4,87,283,3,repetition,2,6,True,4
531,59,1/8,349/4,284,3,ornamentation,0,6,False,4
532,57,1/8,699/8,285,3,ornamentation,0,6,False,4
533,60,1/8,175/2,286,3,repetition,0,6,False,4
534,59,1/8,701/8,287,3,ornamentation,0,6,False,4
535,60,1/16,351/4,288,3,ornamentation,0,6,True,4
534,59,1/8,701/8,287,3,ornamentation,0,7,True,5
535,60,1/16,351/4,288,3,ornamentation,0,7,False,5
536,59,1/16,1405/16,289,3,ornamentation,0,7,False,5
537,57,1/16,703/8,290,3,ornamentation,0,7,False,5
538,59,1/16,1407/16,291,3,ornamentation,0,7,False,5
540,60,1/2,88,292,3,match,1,7,True,5
662,54,1/4,429/4,354,3,ornamentation,0,8,True,6
663,55,1/8,215/2,355,3,adaptation,0,8,False,6
664,54,1/8,861/8,356,3,ornamentation,0,8,False,6
665,52,1/8,431/4,357,3,ornamentation,0,8,False,6
666,54,1/8,863/8,358,3,ornamentation,0,8,False,6
667,55,1/2,108,359,3,match,3,8,True,6
779,57,1/4,505/4,415,3,ornamentation,0,9,True,7
780,58,1/8,253/2,416,3,ornamentation,0,9,False,7
781,57,1/8,1013/8,417,3,ornamentation,0,9,False,7
782,58,1/8,507/4,418,3,repetition,0,9,False,7
783,60,1/8,1015/8,419,3,ornamentation,0,9,False,7
785,62,1/2,127,420,3,match,2,9,True,7
1069,60,1/4,685/4,571,3,ornamentation,0,10,True,8
1070,62,1/8,343/2,572,3,ornamentation,0,10,False,8
1071,60,1/8,1373/8,573,3,ornamentation,0,10,False,8
1072,59,1/8,687/4,574,3,adaptation,0,10,False,8
1073,57,1/8,1375/8,575,3,ornamentation,0,10,False,8
1075,59,1/2,172,576,3,adaptation,2,10,True,8
115,55,1/4,28,67,4,match,3,0,True,0
126,48,1/8,233/8,75,4,ornamentation,0,0,False,0
127,50,1/8,117/4,76,4,ornamentation,0,0,False,0
128,51,1/8,235/8,77,4,ornamentation,0,0,False,0
129,50,1/8,59/2,78,4,ornamentation,0,0,False,0
130,48,1/8,237/8,79,4,ornamentation,0,0,False,0
131,46,1/8,119/4,80,4,ornamentation,0,0,False,0
132,45,1/8,239/8,81,4,ornamentation,0,0,False,0
133,43,1/2,30,82,4,match,4,0,True,0
643,51,1/4,105,343,4,repetition,2,1,True,1
649,57,1/8,845/8,346,4,ornamentation,0,1,False,1
650,58,1/8,423/4,347,4,ornamentation,0,1,False,1
651,60,1/8,847/8,348,4,ornamentation,0,1,False,1
652,50,1/4,106,349,4,match,0,1,True,1
114,43,1/4,28,67,5,adaptation,4,11,True,0
