note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
36,70,3/16,4,24,0,match,0,52,True,0
37,69,1/16,67/16,25,0,ornamentation,0,52,False,0
38,67,1/16,17/4,26,0,ornamentation,0,52,False,0
39,65,1/16,69/16,27,0,ornamentation,0,52,False,0
40,64,1/32,35/8,28,0,ornamentation,0,52,True,0
39,65,1/16,69/16,27,0,ornamentation,0,53,True,1
40,64,1/32,35/8,28,0,ornamentation,0,53,False,1
41,65,1/32,141/32,29,0,ornamentation,0,53,False,1
42,67,1/32,71/16,30,0,ornamentation,0,53,False,1
43,69,1/32,143/32,31,0,ornamentation,0,53,False,1
46,70,1/8,9/2,32,0,repetition,0,53,True,1
43,69,1/32,143/32,31,0,ornamentation,0,54,True,2
46,70,1/8,9/2,32,0,repetition,0,54,False,2
47,69,1/8,37/8,33,0,ornamentation,0,54,False,2
48,70,1/16,19/4,34,0,repetition,0,54,True,2
47,69,1/8,37/8,33,0,ornamentation,0,55,True,3
48,70,1/16,19/4,34,0,repetition,0,55,False,3
49,69,1/16,77/16,35,0,ornamentation,0,55,False,3
50,67,1/16,39/8,36,0,match,0,55,False,3
51,65,1/16,79/16,37,0,ornamentation,0,55,False,3
54,67,1/8,5,38,0,match,0,55,True,3
77,69,1/4,29/4,54,0,match,0,56,True,4
80,69,1/8,15/2,55,0,repetition,0,56,False,4
81,68,1/8,61/8,56,0,ornamentation,0,56,False,4
82,69,1/16,31/4,57,0,repetition,0,56,True,4
81,68,1/8,61/8,56,0,ornamentation,0,57,True,5
82,69,1/16,31/4,57,0,repetition,0,57,False,5
83,68,1/16,125/16,58,0,ornamentation,0,57,False,5
84,66,1/16,63/8,59,0,ornamentation,0,57,False,5
85,68,1/16,127/16,60,0,ornamentation,0,57,False,5
88,69,1/2,8,61,0,match,0,57,True,5
103,69,3/16,10,67,0,match,0,58,True,6
104,67,1/16,163/16,68,0,ornamentation,0,58,False,6
105,65,1/16,41/4,69,0,ornamentation,0,58,False,6
106,64,1/16,165/16,70,0,ornamentation,0,58,False,6
107,62,1/32,83/8,71,0,ornamentation,0,58,True,6
106,64,1/16,165/16,70,0,ornamentation,0,59,True,7
107,62,1/32,83/8,71,0,ornamentation,0,59,False,7
108,64,1/32,333/32,72,0,ornamentation,0,59,False,7
109,65,1/32,167/16,73,0,ornamentation,0,59,False,7
110,67,1/32,335/32,74,0,ornamentation,0,59,False,7
113,69,1/4,21/2,75,0,repetition,0,59,True,7
123,62,1/4,23/2,79,0,match,0,60,True,8
124,64,1/16,47/4,80,0,ornamentation,0,60,False,8
125,62,1/16,189/16,81,0,ornamentation,0,60,False,8
126,60,1/16,95/8,82,0,ornamentation,0,60,False,8
127,62,1/16,191/16,83,0,ornamentation,0,60,False,8
129,60,1/16,12,84,0,match,0,60,False,8
131,59,1/16,193/16,85,0,ornamentation,0,60,False,8
132,60,1/16,97/8,86,0,ornamentation,0,60,False,8
133,62,1/16,195/16,87,0,ornamentation,0,60,False,8
134,60,1/8,49/4,88,0,ornamentation,0,60,True,8
133,62,1/16,195/16,87,0,ornamentation,0,61,True,9
134,60,1/8,49/4,88,0,ornamentation,0,61,False,9
135,62,1/8,99/8,89,0,match,0,61,False,9
138,64,1/4,25/2,90,0,match,0,61,True,9
157,62,1/8,113/8,101,0,match,0,62,True,10
159,64,1/16,57/4,102,0,adaptation,0,62,False,10
164,62,1/16,233/16,107,0,ornamentation,0,62,False,10
165,61,1/16,117/8,108,0,ornamentation,0,62,False,10
166,59,1/16,235/16,109,0,ornamentation,0,62,False,10
167,62,1/16,59/4,110,0,repetition,0,62,False,10
168,61,1/16,237/16,111,0,ornamentation,0,62,False,10
169,59,1/16,119/8,112,0,ornamentation,0,62,False,10
170,61,1/16,239/16,113,0,ornamentation,0,62,False,10
173,62,1/4,15,114,0,match,0,62,True,10
173,62,1/4,15,114,0,match,0,63,True,11
174,62,1/8,61/4,115,0,ornamentation,0,63,False,11
175,64,1/8,123/8,116,0,match,0,63,False,11
