note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
19;69;1/2;15/2;13;0;match;0;0;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
20;57;1/4;8;14;2;repetition;2;0;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
21;60;1/4;8;14;1;repetition;1;0;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
22;69;1/4;8;14;0;match;0;0;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
23;62;1/4;33/4;15;1;ornamentation;0;0;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
24;64;1/4;17/2;16;1;ornamentation;0;0;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
25;66;1/4;35/4;17;1;ornamentation;0;0;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
26;55;1/2;9;18;3;match;2;0;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
26;55;1/2;9;18;2;match;1;0;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
27;67;1/2;9;18;1;match;0;0;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_1_0_chords]
167;53;1/2;75/2;99;3;match;1;5;True;[non_monotonic_chords]
168;69;1/2;75/2;99;0;match;0;5;True;[non_monotonic_chords]
169;53;1/4;38;100;3;match;2;5;False;[non_monotonic_chords]
170;60;1/4;38;100;2;repetition;1;5;False;[non_monotonic_chords]
171;69;1/4;38;100;0;match;0;5;False;[non_monotonic_chords]
172;52;1/4;153/4;101;1;ornamentation;0;5;False;[non_monotonic_chords]
173;53;1/4;77/2;102;1;match;0;5;False;[non_monotonic_chords]
174;52;1/4;155/4;103;1;ornamentation;0;5;False;[non_monotonic_chords]
176;57;1/2;39;104;2;match;1;5;True;[non_monotonic_chords]
175;53;1/2;39;104;1;match;0;5;True;[non_monotonic_chords]
