note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
4;59;1/16;5/16;3;1;ornamentation;0;1;True;[monotonic_perfect_fifth_0_0]
5;57;1/32;3/8;4;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_0]
6;59;1/32;13/32;5;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_0]
7;60;1/32;7/16;6;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_0]
8;62;1/32;15/32;7;1;ornamentation;0;1;False;[monotonic_perfect_fifth_0_0]
10;64;1/8;1/2;8;1;repetition;0;1;True;[monotonic_perfect_fifth_0_0]
113;65;1/16;117/16;78;1;ornamentation;0;6;True;[monotonic]
114;64;1/32;59/8;79;1;ornamentation;0;6;False;[monotonic]
115;62;1/32;237/32;80;1;ornamentation;0;6;False;[monotonic]
116;60;1/32;119/16;81;1;ornamentation;0;6;False;[monotonic]
117;59;1/32;239/32;82;1;ornamentation;0;6;False;[monotonic]
119;60;1/16;15/2;83;1;match;1;6;True;[monotonic]
161;65;1/16;165/16;116;1;ornamentation;0;9;True;[monotonic]
162;64;1/32;83/8;117;1;ornamentation;0;9;False;[monotonic]
163;62;1/32;333/32;118;1;ornamentation;0;9;False;[monotonic]
164;60;1/32;167/16;119;1;ornamentation;0;9;False;[monotonic]
165;59;1/32;335/32;120;1;ornamentation;0;9;False;[monotonic]
167;60;1/16;21/2;121;1;match;1;9;True;[monotonic]
405;65;1/16;461/16;282;1;ornamentation;0;16;True;[monotonic]
406;67;1/32;231/8;283;1;ornamentation;0;16;False;[monotonic]
407;65;1/32;925/32;284;1;ornamentation;0;16;False;[monotonic]
408;64;1/32;463/16;285;1;ornamentation;0;16;False;[monotonic]
409;62;1/32;927/32;286;1;ornamentation;0;16;False;[monotonic]
412;64;1/4;29;287;1;match;0;16;True;[monotonic]
