note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
279,63,1/2,48,166,1,match,1,0,True
281,62,1/8,97/2,167,1,match,0,0,False
282,63,1/8,389/8,168,1,ornamentation,0,0,False
283,65,1/8,195/4,169,1,ornamentation,0,0,False
284,62,1/8,391/8,170,1,ornamentation,0,0,False
285,63,1/8,49,171,1,adaptation,0,0,False
286,62,1/8,393/8,172,1,ornamentation,0,0,False
287,60,1/8,197/4,173,1,ornamentation,0,0,False
288,58,1/8,395/8,174,1,ornamentation,0,0,False
289,60,1/8,99/2,175,1,match,0,0,False
294,57,1/4,50,179,1,match,0,0,True
