note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
80;64;1/16;109/16;53;2;ornamentation;0;2;True;[non_monotonic]
81;65;1/32;55/8;54;2;ornamentation;0;2;False;[non_monotonic]
82;64;1/32;221/32;55;2;ornamentation;0;2;False;[non_monotonic]
83;62;1/32;111/16;56;2;ornamentation;0;2;False;[non_monotonic]
84;64;1/32;223/32;57;2;ornamentation;0;2;False;[non_monotonic]
87;65;1/4;7;58;2;match;2;2;True;[non_monotonic]
293;57;1/32;695/32;199;2;ornamentation;0;8;True;[non_monotonic]
294;58;1/16;87/4;200;2;match;0;8;False;[non_monotonic]
295;57;1/16;349/16;201;2;ornamentation;0;8;False;[non_monotonic]
296;58;1/16;175/8;202;2;ornamentation;0;8;False;[non_monotonic]
297;60;1/16;351/16;203;2;ornamentation;0;8;False;[non_monotonic]
298;58;1/8;22;204;2;ornamentation;0;8;True;[non_monotonic]
307;54;1/16;365/16;211;2;ornamentation;0;11;True;[non_monotonic]
308;55;1/32;183/8;212;2;ornamentation;0;11;False;[non_monotonic]
309;54;1/32;733/32;213;2;ornamentation;0;11;False;[non_monotonic]
310;52;1/32;367/16;214;2;ornamentation;0;11;False;[non_monotonic]
311;54;1/32;735/32;215;2;ornamentation;0;11;False;[non_monotonic]
313;55;1/16;23;216;2;match;1;11;True;[non_monotonic]
341;60;1/16;397/16;238;2;ornamentation;0;14;True;[non_monotonic]
342;62;1/32;199/8;239;2;ornamentation;0;14;False;[non_monotonic]
343;60;1/32;797/32;240;2;ornamentation;0;14;False;[non_monotonic]
344;58;1/32;399/16;241;2;ornamentation;0;14;False;[non_monotonic]
345;60;1/32;799/32;242;2;ornamentation;0;14;False;[non_monotonic]
347;62;1/4;25;243;2;adaptation;1;14;True;[non_monotonic]
410;57;1/4;121/4;278;2;match;2;15;True;[non_monotonic]
413;58;1/16;61/2;279;2;match;2;15;False;[non_monotonic]
416;57;1/16;489/16;280;2;ornamentation;0;15;False;[non_monotonic]
417;58;1/16;245/8;281;2;ornamentation;0;15;False;[non_monotonic]
418;60;1/16;491/16;282;2;ornamentation;0;15;False;[non_monotonic]
419;58;1/4;123/4;283;2;repetition;0;15;True;[non_monotonic]
621;59;1/16;757/16;414;2;ornamentation;0;21;True;[non_monotonic]
622;60;1/32;379/8;415;2;ornamentation;0;21;False;[non_monotonic]
623;59;1/32;1517/32;416;2;ornamentation;0;21;False;[non_monotonic]
624;57;1/32;759/16;417;2;ornamentation;0;21;False;[non_monotonic]
625;59;1/32;1519/32;418;2;ornamentation;0;21;False;[non_monotonic]
628;60;1/16;95/2;419;2;match;2;21;True;[non_monotonic]
871;62;1/4;135/2;582;2;match;1;25;True;[non_monotonic]
875;60;1/16;68;584;2;match;1;25;False;[non_monotonic]
876;59;1/16;1089/16;585;2;ornamentation;0;25;False;[non_monotonic]
877;60;1/16;545/8;586;2;ornamentation;0;25;False;[non_monotonic]
878;62;1/16;1091/16;587;2;ornamentation;0;25;False;[non_monotonic]
880;60;1/8;273/4;588;2;repetition;0;25;True;[non_monotonic]
990;55;1/8;613/8;654;2;match;0;28;True;[non_monotonic]
993;58;1/16;307/4;655;2;match;1;28;False;[non_monotonic]
994;57;1/16;1229/16;656;2;ornamentation;0;28;False;[non_monotonic]
995;58;1/16;615/8;657;2;ornamentation;0;28;False;[non_monotonic]
996;60;1/16;1231/16;658;2;ornamentation;0;28;False;[non_monotonic]
997;58;1/8;77;659;2;ornamentation;0;28;True;[non_monotonic]
1008;54;1/16;1245/16;665;2;ornamentation;0;31;True;[non_monotonic]
1009;55;1/32;623/8;666;2;ornamentation;0;31;False;[non_monotonic]
1010;54;1/32;2493/32;667;2;ornamentation;0;31;False;[non_monotonic]
1011;52;1/32;1247/16;668;2;ornamentation;0;31;False;[non_monotonic]
1012;54;1/32;2495/32;669;2;ornamentation;0;31;False;[non_monotonic]
1015;55;1/16;78;670;2;match;1;31;True;[non_monotonic]
1226;58;1/16;1477/16;801;2;ornamentation;0;36;True;[non_monotonic]
