note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
105;48;1;22;51;4;repetition;3;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
106;52;1;22;51;2;match;2;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
107;64;1;22;51;1;repetition;1;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
108;72;1;22;51;0;match;0;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
109;45;1/4;23;52;4;match;3;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
110;57;1/4;23;52;2;match;2;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
111;64;1/4;23;52;1;match;1;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
112;72;1/4;23;52;0;match;0;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
113;71;1/4;93/4;53;0;ornamentation;0;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
114;69;1/4;47/2;54;0;ornamentation;0;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
115;67;1/4;95/4;55;0;ornamentation;0;5;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
116;50;1;24;56;4;match;3;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
117;57;1;24;56;2;repetition;2;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
118;65;1;24;56;1;match;1;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
119;69;1;24;56;0;match;0;5;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_1_chords]
