note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
25;45;3/16;4;18;4;match;0;0;True
26;54;1/16;67/16;19;2;ornamentation;0;0;False
27;55;1/16;17/4;20;2;repetition;0;0;False
28;54;1/16;69/16;21;2;ornamentation;0;0;False
29;55;1/32;35/8;22;2;ornamentation;0;0;True
28;54;1/16;69/16;21;2;ornamentation;0;1;True
29;55;1/32;35/8;22;2;ornamentation;0;1;False
30;54;1/32;141/32;23;2;ornamentation;0;1;False
31;52;1/32;71/16;24;2;ornamentation;0;1;False
32;54;1/32;143/32;25;2;ornamentation;0;1;False
33;43;1/4;9/2;26;4;match;1;1;True
34;55;1/4;9/2;26;2;match;0;1;True
42;55;3/16;11/2;31;4;match;2;2;True
43;62;3/16;11/2;31;2;match;1;2;True
44;70;3/16;11/2;31;0;match;0;2;True
45;64;1/32;91/16;32;2;ornamentation;0;2;False
46;62;1/32;183/32;33;2;ornamentation;0;2;False
47;65;1/16;23/4;34;2;adaptation;0;2;True
46;62;1/32;183/32;33;2;ornamentation;0;3;True
47;65;1/16;23/4;34;2;adaptation;0;3;False
48;64;1/16;93/16;35;2;ornamentation;0;3;False
49;65;1/32;47/8;36;2;ornamentation;0;3;True
48;64;1/16;93/16;35;2;ornamentation;0;4;True
49;65;1/32;47/8;36;2;ornamentation;0;4;False
50;64;1/32;189/32;37;2;ornamentation;0;4;False
51;62;1/32;95/16;38;2;ornamentation;0;4;False
52;64;1/32;191/32;39;2;ornamentation;0;4;False
53;53;1/4;6;40;4;match;3;4;True
54;65;1/4;6;40;2;match;2;4;True
54;65;1/4;6;40;1;match;1;4;True
55;69;1/4;6;40;0;match;0;4;True
113;45;1/8;21/2;66;4;match;2;5;True
115;57;1/8;21/2;66;3;match;1;5;True
114;52;1/8;21/2;66;2;match;0;5;True
116;61;1/16;85/8;67;1;ornamentation;0;5;False
117;59;1/16;171/16;68;1;ornamentation;0;5;False
118;61;1/8;43/4;69;1;match;1;5;True
119;64;1/8;43/4;69;0;match;0;5;True
158;54;1/16;221/16;91;3;ornamentation;0;8;True
159;55;1/32;111/8;92;3;ornamentation;0;8;False
160;54;1/32;445/32;93;3;ornamentation;0;8;False
161;52;1/32;223/16;94;3;ornamentation;0;8;False
162;54;1/32;447/32;95;3;ornamentation;0;8;False
163;55;1/4;14;96;3;match;3;8;True
163;55;1/4;14;96;2;match;2;8;True
164;62;1/4;14;96;1;match;1;8;True
165;70;1/4;14;96;0;match;0;8;True
174;55;3/16;15;102;2;match;1;9;True
175;64;3/16;15;102;0;match;0;9;True
176;61;1/32;243/16;103;2;ornamentation;0;9;False
177;59;1/32;487/32;104;2;ornamentation;0;9;False
178;57;1/16;61/4;105;2;match;1;9;True
179;62;1/16;61/4;105;1;repetition;0;9;True
180;61;1/16;245/16;106;1;ornamentation;0;11;True
181;62;1/32;123/8;107;1;ornamentation;0;11;False
182;61;1/32;493/32;108;1;ornamentation;0;11;False
183;59;1/32;247/16;109;1;ornamentation;0;11;False
184;61;1/32;495/32;110;1;ornamentation;0;11;False
185;50;3/16;31/2;111;2;match;2;11;True
186;62;3/16;31/2;111;1;match;1;11;True
186;62;3/16;31/2;111;0;match;0;11;True
222;54;1/16;293/16;133;3;ornamentation;0;16;True
223;55;1/32;147/8;134;3;ornamentation;0;16;False
224;54;1/32;589/32;135;3;ornamentation;0;16;False
225;52;1/32;295/16;136;3;ornamentation;0;16;False
226;54;1/32;591/32;137;3;ornamentation;0;16;False
227;55;1/8;37/2;138;3;match;3;16;True
227;55;1/8;37/2;138;2;match;2;16;True
228;62;1/8;37/2;138;1;match;1;16;True
229;70;1/8;37/2;138;0;match;0;16;True
277;43;3/16;23;170;4;match;3;19;True
279;55;3/16;23;170;3;match;2;19;True
278;50;3/16;23;170;2;match;1;19;True
280;70;3/16;23;170;0;match;0;19;True
281;67;1/32;371/16;171;0;ornamentation;0;19;False
282;69;1/32;743/32;172;0;ornamentation;0;19;False
283;70;1/16;93/4;173;0;ornamentation;0;19;True
282;69;1/32;743/32;172;0;ornamentation;0;20;True
283;70;1/16;93/4;173;0;ornamentation;0;20;False
284;69;1/16;373/16;174;0;ornamentation;0;20;False
285;70;1/16;187/8;175;0;repetition;0;20;False
286;72;1/16;375/16;176;0;ornamentation;0;20;False
287;43;1/4;47/2;177;4;repetition;2;20;True
288;55;1/4;47/2;177;3;repetition;1;20;True
289;74;1/4;47/2;177;0;match;0;20;True
385;67;1/16;509/16;226;0;ornamentation;0;25;True
386;69;1/32;255/8;227;0;ornamentation;0;25;False
387;67;1/32;1021/32;228;0;ornamentation;0;25;False
388;65;1/32;511/16;229;0;ornamentation;0;25;False
389;67;1/32;1023/32;230;0;ornamentation;0;25;False
390;57;1/16;32;231;2;match;2;25;True
391;64;1/16;32;231;1;match;1;25;True
392;69;1/16;32;231;0;match;0;25;True
395;65;1/16;515/16;234;1;ornamentation;0;27;True
396;64;1/8;129/4;235;1;ornamentation;0;27;False
397;62;1/8;259/8;236;1;ornamentation;0;27;False
398;45;1/4;65/2;237;4;match;2;27;True
399;57;1/4;65/2;237;2;repetition;1;27;True
400;64;1/4;65/2;237;1;repetition;0;27;True
452;48;1/8;73/2;261;4;match;3;28;True
453;60;1/8;73/2;261;2;match;2;28;True
454;65;1/8;73/2;261;1;match;1;28;True
455;67;1/8;73/2;261;0;match;0;28;True
456;64;1/16;293/8;262;1;ornamentation;0;28;False
457;62;1/16;587/16;263;1;ornamentation;0;28;False
458;55;1/8;147/4;264;3;match;1;28;True
459;64;1/8;147/4;264;1;match;0;28;True
563;45;3/16;47;317;4;match;0;29;True
564;54;1/16;755/16;318;2;ornamentation;0;29;False
565;55;1/16;189/4;319;2;repetition;0;29;False
566;54;1/16;757/16;320;2;ornamentation;0;29;False
567;55;1/32;379/8;321;2;ornamentation;0;29;True
566;54;1/16;757/16;320;2;ornamentation;0;30;True
567;55;1/32;379/8;321;2;ornamentation;0;30;False
568;54;1/32;1517/32;322;2;ornamentation;0;30;False
569;52;1/32;759/16;323;2;ornamentation;0;30;False
570;54;1/32;1519/32;324;2;ornamentation;0;30;False
571;43;1/4;95/2;325;4;match;2;30;True
572;55;1/4;95/2;325;2;match;1;30;True
573;70;1/4;95/2;325;0;match;0;30;True
580;55;3/16;97/2;330;4;match;2;31;True
581;62;3/16;97/2;330;2;match;1;31;True
582;70;3/16;97/2;330;0;match;0;31;True
583;64;1/32;779/16;331;1;ornamentation;0;31;False
584;62;1/32;1559/32;332;1;ornamentation;0;31;False
585;65;1/16;195/4;333;1;repetition;0;31;True
584;62;1/32;1559/32;332;1;ornamentation;0;32;True
585;65;1/16;195/4;333;1;repetition;0;32;False
586;64;1/16;781/16;334;1;ornamentation;0;32;False
587;65;1/32;391/8;335;1;ornamentation;0;32;True
586;64;1/16;781/16;334;1;ornamentation;0;33;True
587;65;1/32;391/8;335;1;ornamentation;0;33;False
588;64;1/32;1565/32;336;1;ornamentation;0;33;False
589;62;1/32;783/16;337;1;ornamentation;0;33;False
590;64;1/32;1567/32;338;1;ornamentation;0;33;False
591;53;1/4;49;339;4;match;3;33;True
592;65;1/4;49;339;2;match;2;33;True
592;65;1/4;49;339;1;match;1;33;True
593;69;1/4;49;339;0;match;0;33;True
652;45;1/8;107/2;365;4;match;2;34;True
654;57;1/8;107/2;365;3;match;1;34;True
653;52;1/8;107/2;365;2;match;0;34;True
655;61;1/16;429/8;366;1;ornamentation;0;34;False
656;59;1/16;859/16;367;1;ornamentation;0;34;False
657;61;1/8;215/4;368;1;match;1;34;True
658;64;1/8;215/4;368;0;match;0;34;True
699;54;1/16;909/16;392;3;ornamentation;0;37;True
700;55;1/32;455/8;393;3;ornamentation;0;37;False
