note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
28;54;1/16;69/16;21;2;ornamentation;0;0;True
29;55;1/32;35/8;22;2;ornamentation;0;0;False
30;54;1/32;141/32;23;2;ornamentation;0;0;False
31;52;1/32;71/16;24;2;ornamentation;0;0;False
32;54;1/32;143/32;25;2;ornamentation;0;0;False
33;43;1/4;9/2;26;4;match;1;0;True
34;55;1/4;9/2;26;2;match;0;0;True
48;64;1/16;93/16;35;2;ornamentation;0;1;True
49;65;1/32;47/8;36;2;ornamentation;0;1;False
50;64;1/32;189/32;37;2;ornamentation;0;1;False
51;62;1/32;95/16;38;2;ornamentation;0;1;False
52;64;1/32;191/32;39;2;ornamentation;0;1;False
53;53;1/4;6;40;4;match;3;1;True
54;65;1/4;6;40;2;match;2;1;True
54;65;1/4;6;40;1;match;1;1;True
55;69;1/4;6;40;0;match;0;1;True
158;54;1/16;221/16;91;3;ornamentation;0;6;True
159;55;1/32;111/8;92;3;ornamentation;0;6;False
160;54;1/32;445/32;93;3;ornamentation;0;6;False
161;52;1/32;223/16;94;3;ornamentation;0;6;False
162;54;1/32;447/32;95;3;ornamentation;0;6;False
163;55;1/4;14;96;3;match;3;6;True
163;55;1/4;14;96;2;match;2;6;True
164;62;1/4;14;96;1;match;1;6;True
165;70;1/4;14;96;0;match;0;6;True
180;61;1/16;245/16;106;1;ornamentation;0;8;True
181;62;1/32;123/8;107;1;ornamentation;0;8;False
182;61;1/32;493/32;108;1;ornamentation;0;8;False
183;59;1/32;247/16;109;1;ornamentation;0;8;False
184;61;1/32;495/32;110;1;ornamentation;0;8;False
185;50;3/16;31/2;111;2;match;2;8;True
186;62;3/16;31/2;111;1;match;1;8;True
186;62;3/16;31/2;111;0;match;0;8;True
222;54;1/16;293/16;133;3;ornamentation;0;11;True
223;55;1/32;147/8;134;3;ornamentation;0;11;False
224;54;1/32;589/32;135;3;ornamentation;0;11;False
225;52;1/32;295/16;136;3;ornamentation;0;11;False
226;54;1/32;591/32;137;3;ornamentation;0;11;False
227;55;1/8;37/2;138;3;match;3;11;True
227;55;1/8;37/2;138;2;match;2;11;True
228;62;1/8;37/2;138;1;match;1;11;True
229;70;1/8;37/2;138;0;match;0;11;True
282;69;1/32;743/32;172;0;ornamentation;0;14;True
283;70;1/16;93/4;173;0;ornamentation;0;14;False
284;69;1/16;373/16;174;0;ornamentation;0;14;False
285;70;1/16;187/8;175;0;repetition;0;14;False
286;72;1/16;375/16;176;0;ornamentation;0;14;False
287;43;1/4;47/2;177;4;repetition;2;14;True
288;55;1/4;47/2;177;3;repetition;1;14;True
289;74;1/4;47/2;177;0;match;0;14;True
385;67;1/16;509/16;226;0;ornamentation;0;18;True
386;69;1/32;255/8;227;0;ornamentation;0;18;False
387;67;1/32;1021/32;228;0;ornamentation;0;18;False
388;65;1/32;511/16;229;0;ornamentation;0;18;False
389;67;1/32;1023/32;230;0;ornamentation;0;18;False
390;57;1/16;32;231;2;match;2;18;True
391;64;1/16;32;231;1;match;1;18;True
392;69;1/16;32;231;0;match;0;18;True
566;54;1/16;757/16;320;2;ornamentation;0;24;True
567;55;1/32;379/8;321;2;ornamentation;0;24;False
568;54;1/32;1517/32;322;2;ornamentation;0;24;False
569;52;1/32;759/16;323;2;ornamentation;0;24;False
570;54;1/32;1519/32;324;2;ornamentation;0;24;False
571;43;1/4;95/2;325;4;match;2;24;True
572;55;1/4;95/2;325;2;match;1;24;True
573;70;1/4;95/2;325;0;match;0;24;True
586;64;1/16;781/16;334;1;ornamentation;0;25;True
587;65;1/32;391/8;335;1;ornamentation;0;25;False
588;64;1/32;1565/32;336;1;ornamentation;0;25;False
589;62;1/32;783/16;337;1;ornamentation;0;25;False
590;64;1/32;1567/32;338;1;ornamentation;0;25;False
591;53;1/4;49;339;4;match;3;25;True
592;65;1/4;49;339;2;match;2;25;True
592;65;1/4;49;339;1;match;1;25;True
593;69;1/4;49;339;0;match;0;25;True
699;54;1/16;909/16;392;3;ornamentation;0;30;True
700;55;1/32;455/8;393;3;ornamentation;0;30;False
701;54;1/32;1821/32;394;3;ornamentation;0;30;False
702;52;1/32;911/16;395;3;ornamentation;0;30;False
703;54;1/32;1823/32;396;3;ornamentation;0;30;False
704;55;1/4;57;397;3;match;3;30;True
704;55;1/4;57;397;2;match;2;30;True
705;62;1/4;57;397;1;match;1;30;True
706;70;1/4;57;397;0;match;0;30;True
721;61;1/16;933/16;407;1;ornamentation;0;32;True
722;62;1/32;467/8;408;1;ornamentation;0;32;False
723;61;1/32;1869/32;409;1;ornamentation;0;32;False
724;59;1/32;935/16;410;1;ornamentation;0;32;False
725;61;1/32;1871/32;411;1;ornamentation;0;32;False
726;50;1/4;117/2;412;2;match;2;32;True
727;62;1/4;117/2;412;1;match;1;32;True
727;62;1/4;117/2;412;0;match;0;32;True
761;54;1/16;981/16;434;3;ornamentation;0;35;True
762;55;1/32;491/8;435;3;ornamentation;0;35;False
763;54;1/32;1965/32;436;3;ornamentation;0;35;False
764;52;1/32;983/16;437;3;ornamentation;0;35;False
765;54;1/32;1967/32;438;3;ornamentation;0;35;False
766;55;1/4;123/2;439;3;match;3;35;True
766;55;1/4;123/2;439;2;match;2;35;True
767;62;1/4;123/2;439;1;match;1;35;True
768;70;1/4;123/2;439;0;match;0;35;True
766;55;1/4;123/2;439;3;match;3;36;True
766;55;1/4;123/2;439;2;match;2;36;True
767;62;1/4;123/2;439;1;match;1;36;True
768;70;1/4;123/2;439;0;match;0;36;True
769;64;1/8;247/4;440;1;match;0;36;False
770;69;1/8;495/8;441;0;match;0;36;False
771;67;1/8;62;442;0;match;0;36;False
772;62;1/8;497/8;443;1;match;0;36;False
773;62;1/4;249/4;444;1;match;1;36;True
774;65;1/4;249/4;444;0;match;0;36;True
780;61;1/16;1005/16;449;1;ornamentation;0;37;True
781;62;1/32;503/8;450;1;ornamentation;0;37;False
782;61;1/32;2013/32;451;1;ornamentation;0;37;False
783;59;1/32;1007/16;452;1;ornamentation;0;37;False
784;61;1/32;2015/32;453;1;ornamentation;0;37;False
785;58;1/4;63;454;2;match;2;37;True
786;62;1/4;63;454;1;match;1;37;True
786;62;1/4;63;454;0;match;0;37;True
819;54;1/16;1053/16;470;3;ornamentation;0;39;True
820;55;1/32;527/8;471;3;ornamentation;0;39;False
821;54;1/32;2109/32;472;3;ornamentation;0;39;False
822;52;1/32;1055/16;473;3;ornamentation;0;39;False
823;54;1/32;2111/32;474;3;ornamentation;0;39;False
824;48;1/4;66;475;4;match;3;39;True
825;55;1/4;66;475;3;match;2;39;True
826;60;1/4;66;475;1;match;1;39;True
827;64;1/4;66;475;0;match;0;39;True
892;61;1/16;1117/16;504;0;ornamentation;0;43;True
893;62;1/32;559/8;505;0;ornamentation;0;43;False
894;61;1/32;2237/32;506;0;ornamentation;0;43;False
895;59;1/32;1119/16;507;0;ornamentation;0;43;False
