note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
436;52;1/2;165/2;179;2;match;2;20;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
437;64;1/2;165/2;179;1;match;1;20;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
438;67;1/2;165/2;179;0;match;0;20;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
439;53;1/4;83;180;2;match;2;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
440;57;1/4;83;180;1;match;1;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
441;69;1/4;83;180;0;match;0;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
442;59;1/4;333/4;181;1;ornamentation;0;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
443;53;1/4;167/2;182;2;repetition;2;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
444;60;1/4;167/2;182;1;adaptation;1;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
445;69;1/4;167/2;182;0;repetition;0;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
446;62;1/4;335/4;183;1;ornamentation;0;20;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
447;48;1/2;84;184;4;adaptation;3;20;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
449;64;1/2;84;184;2;adaptation;2;20;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
448;60;1/2;84;184;1;adaptation;1;20;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
450;67;1/2;84;184;0;match;0;20;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
670;60;1/2;245/2;263;3;adaptation;3;25;True;[monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
669;52;1/2;245/2;263;2;match;2;25;True;[monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
671;64;1/2;245/2;263;1;match;1;25;True;[monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
672;67;1/2;245/2;263;0;match;0;25;True;[monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
674;57;1/4;123;264;3;match;2;25;False;[monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
673;53;1/4;123;264;2;match;1;25;False;[monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
675;69;1/4;123;264;0;match;0;25;False;[monotonic_perfect_fifth_2_1_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
