note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
75,66,1/4,25,52,0,ficta,0,0,True
76,62,1/8,101/4,53,0,ornamentation,0,0,False
77,64,1/8,203/8,54,0,ornamentation,0,0,False
78,66,1/4,51/2,55,0,adaptation,0,0,True
288,62,3/8,157/2,184,0,match,0,1,True
289,64,1/8,631/8,185,0,ornamentation,0,1,False
292,65,1/4,79,186,0,match,0,1,True
292,65,1/4,79,186,0,match,0,2,True
293,62,1/8,317/4,187,0,ornamentation,0,2,False
294,64,1/8,635/8,188,0,ornamentation,0,2,False
295,65,1/8,159/2,189,0,repetition,0,2,False
296,67,1/8,637/8,190,0,ornamentation,0,2,False
297,69,1/8,319/4,191,0,adaptation,0,2,False
298,70,1/8,639/8,192,0,ornamentation,0,2,False
301,69,1/4,80,193,0,match,0,2,True
