note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
6;54;1/16;13/16;4;1;ornamentation;0;1;True;[non_monotonic]
7;55;1/32;7/8;5;1;repetition;0;1;False;[non_monotonic]
8;54;1/32;29/32;6;1;ornamentation;0;1;False;[non_monotonic]
9;55;1/32;15/16;7;1;ornamentation;0;1;False;[non_monotonic]
10;57;1/32;31/32;8;1;ornamentation;0;1;False;[non_monotonic]
11;59;1/16;1;9;1;match;1;1;True;[non_monotonic]
12;67;1/16;1;9;0;match;0;1;True;[non_monotonic]
15;59;1/16;19/16;12;1;ornamentation;0;3;True;[non_monotonic]
16;60;1/32;5/4;13;1;match;0;3;False;[non_monotonic]
17;59;1/32;41/32;14;1;ornamentation;0;3;False;[non_monotonic]
18;57;1/32;21/16;15;1;ornamentation;0;3;False;[non_monotonic]
19;59;1/32;43/32;16;1;ornamentation;0;3;False;[non_monotonic]
20;60;1/8;11/8;17;1;ornamentation;0;3;True;[non_monotonic]
57;69;1/16;69/16;48;0;ornamentation;0;9;True;[non_monotonic]
58;71;1/32;35/8;49;0;ornamentation;0;9;False;[non_monotonic]
59;69;1/32;141/32;50;0;ornamentation;0;9;False;[non_monotonic]
60;71;1/32;71/16;51;0;ornamentation;0;9;False;[non_monotonic]
61;72;1/32;143/32;52;0;ornamentation;0;9;False;[non_monotonic]
62;43;1/4;9/2;53;5;match;2;9;True;[non_monotonic]
63;55;1/4;9/2;53;3;repetition;1;9;True;[non_monotonic]
64;71;1/4;9/2;53;0;repetition;0;9;True;[non_monotonic]
128;57;1/16;137/16;107;3;ornamentation;0;19;True;[non_monotonic]
129;59;1/32;69/8;108;3;repetition;0;19;False;[non_monotonic]
130;57;1/32;277/32;109;2;ornamentation;0;19;False;[non_monotonic]
131;59;1/32;139/16;110;2;ornamentation;0;19;False;[non_monotonic]
132;60;1/32;279/32;111;2;ornamentation;0;19;False;[non_monotonic]
133;59;1/8;35/4;112;2;match;0;19;True;[non_monotonic]
139;59;1/16;145/16;115;2;ornamentation;0;21;True;[monotonic_perfect_fifth_0_0]
140;57;1/32;73/8;116;2;ornamentation;0;21;False;[monotonic_perfect_fifth_0_0]
141;59;1/32;293/32;117;2;ornamentation;0;21;False;[monotonic_perfect_fifth_0_0]
