note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
6;54;1/16;13/16;4;1;ornamentation;0;0;True
7;55;1/32;7/8;5;1;repetition;0;0;False
8;54;1/32;29/32;6;1;ornamentation;0;0;False
9;55;1/32;15/16;7;1;ornamentation;0;0;False
10;57;1/32;31/32;8;1;ornamentation;0;0;False
11;59;1/16;1;9;1;match;1;0;True
12;67;1/16;1;9;0;match;0;0;True
15;59;1/16;19/16;12;1;ornamentation;0;2;True
16;60;1/32;5/4;13;1;match;0;2;False
17;59;1/32;41/32;14;1;ornamentation;0;2;False
18;57;1/32;21/16;15;1;ornamentation;0;2;False
19;59;1/32;43/32;16;1;ornamentation;0;2;False
20;60;1/8;11/8;17;1;ornamentation;0;2;True
31;62;1/4;11/4;26;1;match;0;3;True
32;69;1/8;3;27;0;match;0;3;False
33;57;1/8;25/8;28;1;adaptation;0;3;False
34;62;1/8;13/4;29;1;match;0;3;False
35;64;1/8;27/8;30;1;match;0;3;False
36;66;1/16;7/2;31;1;ficta;1;3;True
37;69;1/16;7/2;31;0;repetition;0;3;True
40;66;1/16;59/16;34;1;ornamentation;0;5;True
41;67;1/32;15/4;35;1;repetition;0;5;False
42;66;1/32;121/32;36;1;ornamentation;0;5;False
43;67;1/32;61/16;37;1;ornamentation;0;5;False
44;66;1/32;123/32;38;1;ornamentation;0;5;False
45;67;1/32;31/8;39;1;adaptation;0;5;False
46;66;1/32;125/32;40;1;ornamentation;0;5;False
47;64;1/32;63/16;41;1;ornamentation;0;5;False
48;66;1/32;127/32;42;1;ornamentation;0;5;False
49;43;1/16;4;43;5;match;3;5;True
50;55;1/16;4;43;3;match;2;5;True
51;67;1/16;4;43;1;match;1;5;True
52;71;1/16;4;43;0;match;0;5;True
57;69;1/16;69/16;48;0;ornamentation;0;7;True
58;71;1/32;35/8;49;0;ornamentation;0;7;False
59;69;1/32;141/32;50;0;ornamentation;0;7;False
60;71;1/32;71/16;51;0;ornamentation;0;7;False
61;72;1/32;143/32;52;0;ornamentation;0;7;False
62;43;1/4;9/2;53;5;match;2;7;True
63;55;1/4;9/2;53;3;repetition;1;7;True
64;71;1/4;9/2;53;0;repetition;0;7;True
85;57;1/16;93/16;70;3;ornamentation;0;10;True
86;59;1/32;47/8;71;3;ornamentation;0;10;False
87;55;1/32;189/32;72;3;ornamentation;0;10;False
88;57;1/32;95/16;73;3;ornamentation;0;10;False
89;55;1/32;191/32;74;3;ornamentation;0;10;False
90;57;1/8;6;75;3;match;0;10;True
97;50;1/4;27/4;81;5;match;0;11;True
98;57;1/8;7;82;3;match;0;11;False
99;49;1/8;57/8;83;5;ficta;0;11;False
100;50;1/8;29/4;84;5;match;0;11;False
101;52;1/8;59/8;85;5;match;0;11;False
102;54;1/16;15/2;86;5;ficta;1;11;True
103;57;1/16;15/2;86;3;repetition;0;11;True
116;64;1/16;131/16;97;1;ornamentation;0;13;True
117;65;1/32;33/4;98;1;adaptation;0;13;False
118;64;1/32;265/32;99;1;ornamentation;0;13;False
119;62;1/32;133/16;100;1;ornamentation;0;13;False
120;60;1/32;267/32;101;1;ornamentation;0;13;False
121;62;1/32;67/8;102;1;ornamentation;0;13;False
122;60;1/32;269/32;103;1;ornamentation;0;13;False
123;59;1/32;135/16;104;1;ornamentation;0;13;False
124;57;1/32;271/32;105;1;ornamentation;0;13;False
125;43;1/16;17/2;106;4;match;3;13;True
127;59;1/16;17/2;106;3;repetition;2;13;True
126;55;1/16;17/2;106;2;match;1;13;True
126;55;1/16;17/2;106;1;match;0;13;True
128;57;1/16;137/16;107;3;ornamentation;0;14;True
129;59;1/32;69/8;108;3;repetition;0;14;False
130;57;1/32;277/32;109;2;ornamentation;0;14;False
131;59;1/32;139/16;110;2;ornamentation;0;14;False
132;60;1/32;279/32;111;2;ornamentation;0;14;False
133;59;1/8;35/4;112;2;match;0;14;True
139;59;1/16;145/16;115;2;ornamentation;0;15;True
140;57;1/32;73/8;116;2;ornamentation;0;15;False
141;59;1/32;293/32;117;2;ornamentation;0;15;False
142;60;1/32;147/16;118;2;ornamentation;0;15;False
143;62;1/32;295/32;119;2;ornamentation;0;15;False
144;48;1/8;37/4;120;4;match;1;15;True
145;64;1/8;37/4;120;2;match;0;15;True
148;55;1/8;19/2;122;5;repetition;3;16;True
147;43;1/8;19/2;122;4;match;2;16;True
150;62;1/8;19/2;122;2;match;1;16;True
149;59;1/8;19/2;122;1;match;0;16;True
151;55;1/16;77/8;123;2;ornamentation;0;16;False
152;61;1/16;155/16;124;2;ornamentation;0;16;False
153;62;1/16;39/4;125;2;repetition;0;16;False
154;64;1/16;157/16;126;0;ornamentation;0;16;False
155;66;1/16;79/8;127;0;ornamentation;0;16;False
156;67;1/16;159/16;128;0;ornamentation;0;16;False
159;62;1/8;10;129;5;adaptation;3;16;True
157;50;1/8;10;129;2;match;2;16;True
158;57;1/8;10;129;1;match;1;16;True
160;69;1/8;10;129;0;match;0;16;True
193;57;1/16;197/16;148;1;ornamentation;0;20;True
194;59;1/32;99/8;149;1;adaptation;0;20;False
195;57;1/32;397/32;150;1;ornamentation;0;20;False
196;59;1/32;199/16;151;1;ornamentation;0;20;False
197;60;1/32;399/32;152;1;ornamentation;0;20;False
198;43;1/16;25/2;153;5;match;3;20;True
199;55;1/16;25/2;153;4;match;2;20;True
200;59;1/16;25/2;153;1;match;1;20;True
201;71;1/16;25/2;153;0;match;0;20;True
207;60;1/16;205/16;158;1;ornamentation;0;22;True
208;62;1/32;103/8;159;1;repetition;0;22;False
209;60;1/32;413/32;160;1;ornamentation;0;22;False
210;62;1/32;207/16;161;1;ornamentation;0;22;False
211;64;1/32;415/32;162;1;ornamentation;0;22;False
212;50;1/8;13;163;5;match;3;22;True
213;57;1/8;13;163;2;match;2;22;True
214;65;1/8;13;163;1;match;1;22;True
215;69;1/8;13;163;0;match;0;22;True
243;66;1/16;237/16;179;0;ornamentation;0;24;True
244;67;1/32;119/8;180;0;ornamentation;0;24;False
245;66;1/32;477/32;181;0;ornamentation;0;24;False
246;64;1/32;239/16;182;0;ornamentation;0;24;False
247;66;1/32;479/32;183;0;ornamentation;0;24;False
248;52;1/4;15;184;4;match;4;24;True
249;55;1/4;15;184;3;match;3;24;True
250;59;1/4;15;184;2;match;2;24;True
249;55;1/4;15;184;1;match;1;24;True
251;67;1/4;15;184;0;match;0;24;True
270;60;1/16;261/16;196;3;ornamentation;0;27;True
271;62;1/32;131/8;197;3;adaptation;0;27;False
272;60;1/32;525/32;198;3;ornamentation;0;27;False
273;59;1/32;263/16;199;3;ornamentation;0;27;False
274;57;1/32;527/32;200;3;ornamentation;0;27;False
275;43;1/16;33/2;201;4;match;3;27;True
277;59;1/16;33/2;201;3;match;2;27;True
277;59;1/16;33/2;201;2;match;1;27;True
276;55;1/16;33/2;201;1;match;0;27;True
297;61;1/16;277/16;216;1;ornamentation;0;30;True
298;62;1/32;139/8;217;1;ornamentation;0;30;False
299;59;1/32;557/32;218;1;ornamentation;0;30;False
300;61;1/32;279/16;219;1;ornamentation;0;30;False
301;62;1/32;559/32;220;1;ornamentation;0;30;False
302;52;1/8;35/2;221;4;match;2;30;True
303;55;1/8;35/2;221;3;match;1;30;True
