note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
33,55,1/4,5,21,2,match,1,0,True
35,55,1/8,21/4,22,2,ornamentation,0,0,False
36,57,1/8,43/8,23,2,match,0,0,False
37,59,1/8,11/2,24,2,match,1,0,False
39,60,1/8,45/8,25,2,match,0,0,False
40,62,1/8,23/4,26,2,match,0,0,False
42,62,1/8,6,28,2,repetition,1,0,False
45,57,1/8,25/4,30,2,match,1,0,False
47,59,1/8,51/8,31,2,match,0,0,False
48,60,1/8,13/2,32,2,match,0,0,False
49,62,1/8,53/8,33,2,match,0,0,False
50,64,1/4,27/4,34,2,match,1,0,True
139,57,1/4,35/2,80,2,match,1,1,True
163,53,1/8,83/4,89,2,ornamentation,0,1,False
164,55,1/8,167/8,90,2,match,0,1,False
166,57,1/4,21,91,2,match,1,1,True
393,60,1/4,217/4,229,2,match,1,2,True
398,64,1/8,219/4,231,2,ornamentation,0,2,False
399,62,1/8,439/8,232,2,adaptation,0,2,False
403,57,1/8,221/4,234,2,match,1,2,False
406,53,1/4,111/2,236,2,match,1,2,True
