note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
19,72,1/8,9/4,16,0,match,0,19,True,0
20,71,1/16,19/8,17,0,ornamentation,0,19,False,0
21,72,1/16,39/16,18,0,ornamentation,0,19,False,0
23,74,1/8,5/2,19,0,match,0,19,True,0
23,74,1/8,5/2,19,0,match,0,20,True,1
24,72,1/16,21/8,20,0,ornamentation,0,20,False,1
25,74,1/16,43/16,21,0,ornamentation,0,20,False,1
27,76,1/4,11/4,22,0,match,0,20,True,1
63,74,1/8,11/2,48,0,repetition,0,21,True,2
64,73,1/16,45/8,49,0,match,0,21,False,2
65,71,1/16,91/16,50,0,ornamentation,0,21,False,2
67,73,1/8,23/4,51,0,match,0,21,True,2
67,73,1/8,23/4,51,0,match,0,22,True,3
68,71,1/16,47/8,52,0,match,0,22,False,3
69,73,1/16,95/16,53,0,ornamentation,0,22,False,3
72,74,1/4,6,54,0,match,0,22,True,3
133,74,1/8,21/2,100,0,match,0,23,True,4
134,73,1/16,85/8,101,0,ornamentation,0,23,False,4
135,71,1/16,171/16,102,0,ornamentation,0,23,False,4
136,73,1/16,43/4,103,0,ornamentation,0,23,False,4
137,74,1/16,173/16,104,0,ornamentation,0,23,False,4
138,76,1/16,87/8,105,0,ornamentation,0,23,False,4
139,78,1/16,175/16,106,0,ornamentation,0,23,False,4
142,79,1/4,11,107,0,match,0,23,True,4
142,79,1/4,11,107,0,match,0,24,True,5
146,79,1/8,23/2,110,0,repetition,0,24,False,5
149,78,1/8,95/8,113,0,ornamentation,0,24,False,5
151,79,1/4,12,114,0,match,0,24,True,5
154,76,1/8,25/2,116,0,match,0,25,True,6
155,74,1/16,101/8,117,0,ornamentation,0,25,False,6
156,76,1/16,203/16,118,0,ornamentation,0,25,False,6
158,77,1/8,51/4,119,0,match,0,25,True,6
166,74,1/8,27/2,125,0,match,0,26,True,7
167,72,1/16,109/8,126,0,ornamentation,0,26,False,7
168,74,1/16,219/16,127,0,ornamentation,0,26,False,7
170,76,1/8,55/4,128,0,match,0,26,True,7
168,74,1/16,219/16,127,0,ornamentation,0,27,True,8
170,76,1/8,55/4,128,0,match,0,27,False,8
171,77,1/8,111/8,129,0,ornamentation,0,27,False,8
173,76,1/8,14,130,0,repetition,0,27,False,8
174,74,1/8,113/8,131,0,match,0,27,False,8
176,74,1/8,57/4,132,0,match,0,27,False,8
179,74,3/16,29/2,134,0,repetition,0,27,True,8
179,74,3/16,29/2,134,0,repetition,0,28,True,9
180,73,1/16,235/16,135,0,ornamentation,0,28,False,9
181,74,1/16,59/4,136,0,repetition,0,28,False,9
182,73,1/16,237/16,137,0,ornamentation,0,28,False,9
183,71,1/16,119/8,138,0,ornamentation,0,28,False,9
184,73,1/16,239/16,139,0,ornamentation,0,28,False,9
187,74,3/16,15,140,0,match,0,28,True,9
195,74,1/8,31/2,146,0,repetition,0,29,True,10
196,64,1/16,125/8,147,0,ornamentation,0,29,False,10
197,66,1/16,251/16,148,0,ornamentation,0,29,False,10
198,67,1/16,63/4,149,0,ornamentation,0,29,False,10
199,69,1/16,253/16,150,0,ornamentation,0,29,False,10
200,71,1/16,127/8,151,0,ornamentation,0,29,False,10
201,73,1/16,255/16,152,0,ornamentation,0,29,False,10
204,74,1/4,16,153,0,repetition,0,29,True,10
273,74,1/4,21,213,0,match,0,30,True,11
275,74,1/8,171/8,215,0,ornamentation,0,30,False,11
276,71,1/8,43/2,216,0,match,0,30,False,11
279,72,1/8,87/4,218,0,match,0,30,False,11
282,72,1/8,177/8,221,0,ornamentation,0,30,False,11
284,71,1/8,89/4,222,0,match,0,30,False,11
285,69,1/8,179/8,223,0,match,0,30,False,11
287,67,3/16,45/2,224,0,match,0,30,True,11
287,67,3/16,45/2,224,0,match,0,31,True,12
310,67,1/16,97/4,243,0,match,0,31,False,12
311,65,1/16,389/16,244,0,ornamentation,0,31,False,12
312,67,1/32,195/8,245,0,ornamentation,0,31,True,12
311,65,1/16,389/16,244,0,ornamentation,0,32,True,13
312,67,1/32,195/8,245,0,ornamentation,0,32,False,13
313,65,1/32,781/32,246,0,ornamentation,0,32,False,13
314,64,1/32,391/16,247,0,ornamentation,0,32,False,13
315,62,1/32,783/32,248,0,ornamentation,0,32,False,13
