note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
4,72,1/4,1,1,0,match,0,0,True
5,62,1/8,5/4,2,0,ornamentation,0,0,False
6,64,1/8,11/8,3,0,ornamentation,0,0,False
7,65,1/8,3/2,4,0,ornamentation,0,0,False
8,67,1/8,13/8,5,0,ornamentation,0,0,False
9,69,1/8,7/4,6,0,ornamentation,0,0,False
10,71,1/8,15/8,7,0,ornamentation,0,0,False
13,72,1/4,2,8,0,match,0,0,True
43,69,1/2,6,25,0,match,0,1,True
45,64,1/8,53/8,27,0,ornamentation,0,1,False
46,65,1/8,27/4,28,0,match,0,1,False
47,67,1/8,55/8,29,0,ornamentation,0,1,False
51,65,1/8,7,30,0,match,0,1,False
61,60,1/8,8,38,0,adaptation,0,1,False
92,60,1/4,12,57,0,adaptation,0,1,True
141,76,1/4,39/2,85,0,adaptation,0,2,True
147,72,1/8,161/8,88,0,ornamentation,0,2,False
148,74,1/8,81/4,89,0,ornamentation,0,2,False
149,76,1/8,163/8,90,0,ornamentation,0,2,False
150,77,1/4,41/2,91,0,repetition,0,2,True
159,59,1/4,87/4,96,0,ornamentation,0,3,True
160,60,1/8,22,97,0,ornamentation,0,3,False
161,74,1/8,177/8,98,0,ornamentation,0,3,False
162,76,1/8,89/4,99,0,ornamentation,0,3,False
163,77,1/8,179/8,100,0,ornamentation,0,3,False
167,76,1/2,45/2,101,0,match,0,3,True
201,72,1/4,27,117,0,match,0,4,True
208,74,1/8,28,121,0,match,0,4,False
209,76,1/8,225/8,122,0,ornamentation,0,4,False
210,77,1/8,113/4,123,0,ornamentation,0,4,False
211,76,1/8,227/8,124,0,ornamentation,0,4,False
212,74,1/8,57/2,125,0,match,0,4,False
219,74,1/4,29,129,0,match,0,4,True
237,69,1/4,31,139,0,match,0,5,True
238,62,1/8,125/4,140,0,ornamentation,0,5,False
239,64,1/8,251/8,141,0,ornamentation,0,5,False
240,65,1/8,63/2,142,0,ornamentation,0,5,False
241,67,1/8,253/8,143,0,ornamentation,0,5,False
242,69,1/8,127/4,144,0,ornamentation,0,5,False
243,71,1/8,255/8,145,0,ornamentation,0,5,False
247,72,1/4,32,146,0,match,0,5,True
247,72,1/4,32,146,0,match,0,6,True
254,72,1/8,33,150,0,match,0,6,False
255,71,1/8,265/8,151,0,ornamentation,0,6,False
256,72,1/8,133/4,152,0,ornamentation,0,6,False
257,69,1/8,267/8,153,0,ornamentation,0,6,False
258,74,1/8,67/2,154,0,ornamentation,0,6,False
259,72,1/8,269/8,155,0,ornamentation,0,6,False
260,74,1/16,135/4,156,0,ornamentation,0,6,True
259,72,1/8,269/8,155,0,ornamentation,0,7,True
260,74,1/16,135/4,156,0,ornamentation,0,7,False
261,72,1/16,541/16,157,0,ornamentation,0,7,False
262,70,1/16,271/8,158,0,ornamentation,0,7,False
263,69,1/16,543/16,159,0,ornamentation,0,7,False
267,67,1/4,34,160,0,match,0,7,True
286,70,3/16,36,170,0,match,0,8,True
291,72,1/16,587/16,175,0,ornamentation,0,8,False
292,70,3/16,147/4,176,0,repetition,0,8,True
308,69,1/4,38,186,0,match,0,9,True
309,70,1/8,153/4,187,0,ornamentation,0,9,False
310,72,1/8,307/8,188,0,ornamentation,0,9,False
312,72,1/4,77/2,189,0,adaptation,0,9,True
312,72,1/4,77/2,189,0,adaptation,0,10,True
313,74,1/8,155/4,190,0,ornamentation,0,10,False
314,72,1/8,311/8,191,0,ornamentation,0,10,False
318,69,1/4,39,192,0,match,0,10,True
318,69,1/4,39,192,0,match,0,11,True
319,57,1/8,157/4,193,0,ornamentation,0,11,False
320,72,1/8,315/8,194,0,ornamentation,0,11,False
321,74,1/8,79/2,195,0,adaptation,0,11,False
322,72,1/8,317/8,196,0,ornamentation,0,11,False
323,70,1/8,159/4,197,0,ornamentation,0,11,False
324,69,1/8,319/8,198,0,ornamentation,0,11,False
328,67,1/2,40,199,0,match,0,11,True
385,67,1/4,191/4,229,0,match,0,12,True
389,69,1/8,48,230,0,match,0,12,False
394,65,1/8,389/8,235,0,ornamentation,0,12,False
395,64,1/8,195/4,236,0,ornamentation,0,12,False
396,62,1/8,391/8,237,0,ornamentation,0,12,False
399,67,1/8,49,238,0,match,0,12,False
400,70,1/8,393/8,239,0,ornamentation,0,12,False
401,72,1/8,197/4,240,0,ornamentation,0,12,False
402,74,1/8,395/8,241,0,ornamentation,0,12,False
405,72,1/8,99/2,242,0,match,0,12,False
411,70,1/4,201/4,247,0,match,0,12,True
484,72,1/4,60,287,0,match,0,13,True
491,65,1/8,61,291,0,match,0,13,False
492,67,1/8,489/8,292,0,ornamentation,0,13,False
493,69,1/8,245/4,293,0,ornamentation,0,13,False
494,70,1/8,491/8,294,0,ornamentation,0,13,False
496,72,1/8,123/2,295,0,match,0,13,False
508,72,1/4,63,302,0,match,0,13,True
549,65,1/2,68,322,0,match,0,14,True
550,67,1/8,137/2,323,0,adaptation,0,14,False
551,69,1/8,549/8,324,0,ornamentation,0,14,False
552,70,1/8,275/4,325,0,ornamentation,0,14,False
553,72,1/8,551/8,326,0,ornamentation,0,14,False
557,70,1/2,69,327,0,match,0,14,True
572,70,1/4,71,333,0,match,0,15,True
573,69,1/8,285/4,334,0,ornamentation,0,15,False
574,70,1/8,571/8,335,0,ornamentation,0,15,False
575,72,1/8,143/2,336,0,ornamentation,0,15,False
576,70,1/8,573/8,337,0,ornamentation,0,15,False
577,69,1/8,287/4,338,0,ornamentation,0,15,False
578,67,1/8,575/8,339,0,ornamentation,0,15,False
581,69,1/4,72,340,0,match,0,15,True
623,69,1/4,77,360,0,repetition,0,16,True
746,67,1/16,1523/16,437,0,ornamentation,0,16,False
747,69,3/16,381/4,438,0,ornamentation,0,16,True
746,67,1/16,1523/16,437,0,ornamentation,0,17,True
747,69,3/16,381/4,438,0,ornamentation,0,17,False
748,67,1/16,1527/16,439,0,ornamentation,0,17,True
747,69,3/16,381/4,438,0,ornamentation,0,18,True
