note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
993;55;1/4;709/4;531;2;ornamentation;0;12;True;[non_monotonic_chords]
994;50;1/8;355/2;532;4;match;1;12;False;[non_monotonic_chords]
995;57;1/8;355/2;532;2;repetition;0;12;False;[non_monotonic_chords]
996;55;1/8;1421/8;533;2;ornamentation;0;12;False;[non_monotonic_chords]
997;57;1/8;711/4;534;2;ornamentation;0;12;False;[non_monotonic_chords]
998;59;1/8;1423/8;535;2;ornamentation;0;12;False;[non_monotonic_chords]
999;48;1/4;178;536;4;match;3;12;True;[non_monotonic_chords]
1000;55;1/4;178;536;3;adaptation;2;12;True;[non_monotonic_chords]
1001;60;1/4;178;536;2;match;1;12;True;[non_monotonic_chords]
1002;67;1/4;178;536;0;match;0;12;True;[non_monotonic_chords]
