note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
21;64;1/16;21/16;17;0;ornamentation;0;2;True;1;[monotonic_perfect_fifth_0_0]
22;62;1/32;11/8;18;0;ornamentation;0;2;False;1;[monotonic_perfect_fifth_0_0]
23;64;1/32;45/32;19;0;ornamentation;0;2;False;1;[monotonic_perfect_fifth_0_0]
24;65;1/32;23/16;20;0;ornamentation;0;2;False;1;[monotonic_perfect_fifth_0_0]
25;67;1/32;47/32;21;0;ornamentation;0;2;False;1;[monotonic_perfect_fifth_0_0]
28;69;1/8;3/2;22;0;match;0;2;True;1;[monotonic_perfect_fifth_0_0]
28;69;1/8;3/2;22;0;match;0;3;True;2;[non_monotonic]
29;64;1/16;13/8;23;0;ornamentation;0;3;False;2;[non_monotonic]
30;65;1/16;27/16;24;0;ornamentation;0;3;False;2;[non_monotonic]
31;67;1/16;7/4;25;0;ornamentation;0;3;False;2;[non_monotonic]
32;65;1/16;29/16;26;0;ornamentation;0;3;False;2;[non_monotonic]
33;67;1/32;15/8;27;0;ornamentation;0;3;True;2;[non_monotonic]
32;65;1/16;29/16;26;0;ornamentation;0;4;True;3;[non_monotonic]
33;67;1/32;15/8;27;0;ornamentation;0;4;False;3;[non_monotonic]
34;65;1/32;61/32;28;0;ornamentation;0;4;False;3;[non_monotonic]
35;64;1/32;31/16;29;0;ornamentation;0;4;False;3;[non_monotonic]
36;65;1/32;63/32;30;0;ornamentation;0;4;False;3;[non_monotonic]
39;67;1/2;2;31;0;match;0;4;True;3;[non_monotonic]
142;66;1/16;149/16;101;0;ornamentation;0;11;True;10;[monotonic]
143;67;1/32;75/8;102;0;ornamentation;0;11;False;10;[monotonic]
144;69;1/32;301/32;103;0;ornamentation;0;11;False;10;[monotonic]
145;71;1/32;151/16;104;0;ornamentation;0;11;False;10;[monotonic]
146;72;1/32;303/32;105;0;ornamentation;0;11;False;10;[monotonic]
149;72;1/4;19/2;106;0;match;0;11;True;10;[monotonic]
151;72;1/16;157/16;108;0;ornamentation;0;13;True;12;[monotonic]
152;74;1/32;79/8;109;0;ornamentation;0;13;False;12;[monotonic]
153;72;1/32;317/32;110;0;ornamentation;0;13;False;12;[monotonic]
154;71;1/32;159/16;111;0;ornamentation;0;13;False;12;[monotonic]
155;69;1/32;319/32;112;0;ornamentation;0;13;False;12;[monotonic]
158;71;3/16;10;113;0;match;0;13;True;12;[monotonic]
178;69;1/8;89/8;130;0;ornamentation;0;15;True;14;[non_monotonic]
179;67;1/16;45/4;131;0;match;0;15;False;14;[non_monotonic]
180;66;1/16;181/16;132;0;ornamentation;0;15;False;14;[non_monotonic]
181;64;1/16;91/8;133;0;adaptation;0;15;False;14;[non_monotonic]
182;66;1/16;183/16;134;0;ornamentation;0;15;False;14;[non_monotonic]
185;67;1/8;23/2;135;0;match;0;15;True;14;[non_monotonic]
216;65;1/16;221/16;154;0;ornamentation;0;19;True;18;[monotonic]
217;67;1/32;111/8;155;0;ornamentation;0;19;False;18;[monotonic]
218;65;1/32;445/32;156;0;ornamentation;0;19;False;18;[monotonic]
219;64;1/32;223/16;157;0;ornamentation;0;19;False;18;[monotonic]
220;62;1/32;447/32;158;0;ornamentation;0;19;False;18;[monotonic]
223;64;1/4;14;159;0;match;0;19;True;18;[monotonic]
253;66;1/16;261/16;176;0;ornamentation;0;21;True;20;[monotonic_perfect_fifth_0_0]
254;64;1/32;131/8;177;0;ornamentation;0;21;False;20;[monotonic_perfect_fifth_0_0]
255;66;1/32;525/32;178;0;ornamentation;0;21;False;20;[monotonic_perfect_fifth_0_0]
256;67;1/32;263/16;179;0;ornamentation;0;21;False;20;[monotonic_perfect_fifth_0_0]
257;69;1/32;527/32;180;0;ornamentation;0;21;False;20;[monotonic_perfect_fifth_0_0]
260;71;1/8;33/2;181;0;repetition;0;21;True;20;[monotonic_perfect_fifth_0_0]
351;59;1/16;381/16;246;0;ornamentation;0;28;True;27;[monotonic_perfect_fifth_0_0]
352;60;1/32;191/8;247;0;ornamentation;0;28;False;27;[monotonic_perfect_fifth_0_0]
