note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
4;59;1/16;5/16;3;1;ornamentation;0;0;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
5;57;1/32;3/8;4;1;ornamentation;0;0;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
6;59;1/32;13/32;5;1;ornamentation;0;0;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
7;60;1/32;7/16;6;1;ornamentation;0;0;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
8;62;1/32;15/32;7;1;ornamentation;0;0;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
9;52;1/8;1/2;8;3;repetition;1;0;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
10;64;1/8;1/2;8;1;repetition;0;0;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
21;64;1/16;21/16;17;0;ornamentation;0;2;True;[monotonic_perfect_fifth_0_0]
22;62;1/32;11/8;18;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
23;64;1/32;45/32;19;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
24;65;1/32;23/16;20;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
25;67;1/32;47/32;21;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
26;50;1/8;3/2;22;3;match;2;2;True;[monotonic_perfect_fifth_0_0]
27;65;1/8;3/2;22;1;match;1;2;True;[monotonic_perfect_fifth_0_0]
28;69;1/8;3/2;22;0;match;0;2;True;[monotonic_perfect_fifth_0_0]
26;50;1/8;3/2;22;3;match;2;3;True;[non_monotonic]
27;65;1/8;3/2;22;1;match;1;3;True;[non_monotonic]
28;69;1/8;3/2;22;0;match;0;3;True;[non_monotonic]
29;64;1/16;13/8;23;0;ornamentation;0;3;False;[non_monotonic]
30;65;1/16;27/16;24;0;ornamentation;0;3;False;[non_monotonic]
31;67;1/16;7/4;25;0;ornamentation;0;3;False;[non_monotonic]
32;65;1/16;29/16;26;0;ornamentation;0;3;False;[non_monotonic]
33;67;1/32;15/8;27;0;ornamentation;0;3;True;[non_monotonic]
32;65;1/16;29/16;26;0;ornamentation;0;4;True;[non_monotonic]
33;67;1/32;15/8;27;0;ornamentation;0;4;False;[non_monotonic]
34;65;1/32;61/32;28;0;ornamentation;0;4;False;[non_monotonic]
35;64;1/32;31/16;29;0;ornamentation;0;4;False;[non_monotonic]
36;65;1/32;63/32;30;0;ornamentation;0;4;False;[non_monotonic]
37;52;1/2;2;31;3;match;3;4;True;[non_monotonic]
37;52;1/2;2;31;2;match;2;4;True;[non_monotonic]
38;59;1/2;2;31;1;adaptation;1;4;True;[non_monotonic]
39;67;1/2;2;31;0;match;0;4;True;[non_monotonic]
113;65;1/16;117/16;78;1;ornamentation;0;8;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
114;64;1/32;59/8;79;1;ornamentation;0;8;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
115;62;1/32;237/32;80;1;ornamentation;0;8;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
116;60;1/32;119/16;81;1;ornamentation;0;8;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
117;59;1/32;239/32;82;1;ornamentation;0;8;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
118;57;1/16;15/2;83;3;match;2;8;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
119;60;1/16;15/2;83;1;match;1;8;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
120;69;1/16;15/2;83;0;match;0;8;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
142;66;1/16;149/16;101;0;ornamentation;0;12;True;[monotonic]
143;67;1/32;75/8;102;0;ornamentation;0;12;False;[monotonic]
144;69;1/32;301/32;103;0;ornamentation;0;12;False;[monotonic]
145;71;1/32;151/16;104;0;ornamentation;0;12;False;[monotonic]
146;72;1/32;303/32;105;0;ornamentation;0;12;False;[monotonic]
147;60;1/4;19/2;106;2;repetition;2;12;True;[monotonic]
148;64;1/4;19/2;106;1;repetition;1;12;True;[monotonic]
149;72;1/4;19/2;106;0;match;0;12;True;[monotonic]
151;72;1/16;157/16;108;0;ornamentation;0;13;True;[monotonic]
152;74;1/32;79/8;109;0;ornamentation;0;13;False;[monotonic]
153;72;1/32;317/32;110;0;ornamentation;0;13;False;[monotonic]
154;71;1/32;159/16;111;0;ornamentation;0;13;False;[monotonic]
155;69;1/32;319/32;112;0;ornamentation;0;13;False;[monotonic]
156;55;3/16;10;113;2;match;2;13;True;[monotonic]
157;62;3/16;10;113;1;match;1;13;True;[monotonic]
158;71;3/16;10;113;0;match;0;13;True;[monotonic]
161;65;1/16;165/16;116;1;ornamentation;0;14;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
162;64;1/32;83/8;117;1;ornamentation;0;14;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
163;62;1/32;333/32;118;1;ornamentation;0;14;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
164;60;1/32;167/16;119;1;ornamentation;0;14;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
165;59;1/32;335/32;120;1;ornamentation;0;14;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
166;57;1/16;21/2;121;2;match;2;14;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
167;60;1/16;21/2;121;1;match;1;14;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
168;69;1/16;21/2;121;0;match;0;14;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
178;69;1/8;89/8;130;0;ornamentation;0;16;True;[non_monotonic]
179;67;1/16;45/4;131;0;match;0;16;False;[non_monotonic]
180;66;1/16;181/16;132;0;ornamentation;0;16;False;[non_monotonic]
181;64;1/16;91/8;133;0;adaptation;0;16;False;[non_monotonic]
182;66;1/16;183/16;134;0;ornamentation;0;16;False;[non_monotonic]
183;52;1/8;23/2;135;3;repetition;2;16;True;[non_monotonic]
184;59;1/8;23/2;135;1;repetition;1;16;True;[non_monotonic]
185;67;1/8;23/2;135;0;match;0;16;True;[non_monotonic]
216;65;1/16;221/16;154;0;ornamentation;0;18;True;[monotonic_perfect_fifth_0_1]
217;67;1/32;111/8;155;0;ornamentation;0;18;False;[monotonic_perfect_fifth_0_1]
218;65;1/32;445/32;156;0;ornamentation;0;18;False;[monotonic_perfect_fifth_0_1]
219;64;1/32;223/16;157;0;ornamentation;0;18;False;[monotonic_perfect_fifth_0_1]
220;62;1/32;447/32;158;0;ornamentation;0;18;False;[monotonic_perfect_fifth_0_1]
221;45;1/4;14;159;3;match;2;18;True;[monotonic_perfect_fifth_0_1]
222;60;1/4;14;159;1;match;1;18;True;[monotonic_perfect_fifth_0_1]
223;64;1/4;14;159;0;match;0;18;True;[monotonic_perfect_fifth_0_1]
253;66;1/16;261/16;176;0;ornamentation;0;20;True;[monotonic_perfect_fifth_0_0]
254;64;1/32;131/8;177;0;ornamentation;0;20;False;[monotonic_perfect_fifth_0_0]
255;66;1/32;525/32;178;0;ornamentation;0;20;False;[monotonic_perfect_fifth_0_0]
256;67;1/32;263/16;179;0;ornamentation;0;20;False;[monotonic_perfect_fifth_0_0]
257;69;1/32;527/32;180;0;ornamentation;0;20;False;[monotonic_perfect_fifth_0_0]
258;52;1/8;33/2;181;3;match;2;20;True;[monotonic_perfect_fifth_0_0]
259;64;1/8;33/2;181;2;match;1;20;True;[monotonic_perfect_fifth_0_0]
260;71;1/8;33/2;181;0;repetition;0;20;True;[monotonic_perfect_fifth_0_0]
267;57;1/2;17;188;3;match;2;22;True;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
268;60;1/2;17;188;2;match;1;22;True;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
269;72;1/2;17;188;0;match;0;22;True;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
270;57;1/16;35/2;189;3;match;2;22;False;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
271;60;1/16;35/2;189;2;match;1;22;False;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
272;69;1/16;35/2;189;0;match;0;22;False;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
273;59;1/16;281/16;190;0;ornamentation;0;22;False;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
274;60;1/16;141/8;191;0;ornamentation;0;22;False;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
275;62;1/16;283/16;192;0;ornamentation;0;22;False;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
276;64;1/32;71/4;193;0;ornamentation;0;22;True;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_0_0_chords]
339;56;1/8;181/8;237;2;ornamentation;0;27;True;[non_monotonic]
340;57;1/16;91/4;238;2;ornamentation;0;27;False;[non_monotonic]
341;56;1/16;365/16;239;2;ornamentation;0;27;False;[non_monotonic]
342;55;1/16;183/8;240;2;ornamentation;0;27;False;[non_monotonic]
343;56;1/16;367/16;241;2;ornamentation;0;27;False;[non_monotonic]
344;45;1/2;23;242;3;match;1;27;True;[non_monotonic]
345;57;1/2;23;242;2;match;0;27;True;[non_monotonic]
351;59;1/16;381/16;246;0;ornamentation;0;28;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
352;60;1/32;191/8;247;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
353;62;1/32;765/32;248;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
354;64;1/32;383/16;249;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
355;66;1/32;767/32;250;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
356;55;1/2;24;251;2;match;2;28;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
357;59;1/2;24;251;1;adaptation;1;28;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
358;67;1/2;24;251;0;match;0;28;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
363;67;1/16;397/16;254;0;ornamentation;0;29;True;[monotonic_perfect_fifth_0_0]
364;69;1/32;199/8;255;0;ornamentation;0;29;False;[monotonic_perfect_fifth_0_0]
365;67;1/32;797/32;256;0;ornamentation;0;29;False;[monotonic_perfect_fifth_0_0]
366;65;1/32;399/16;257;0;ornamentation;0;29;False;[monotonic_perfect_fifth_0_0]
367;64;1/32;799/32;258;0;ornamentation;0;29;False;[monotonic_perfect_fifth_0_0]
368;55;1/2;25;259;3;match;2;29;True;[monotonic_perfect_fifth_0_0]
370;67;1/2;25;259;1;repetition;1;29;True;[monotonic_perfect_fifth_0_0]
369;62;1/2;25;259;0;match;0;29;True;[monotonic_perfect_fifth_0_0]
405;65;1/16;461/16;282;1;ornamentation;0;31;True;[monotonic]
406;67;1/32;231/8;283;1;ornamentation;0;31;False;[monotonic]
407;65;1/32;925/32;284;1;ornamentation;0;31;False;[monotonic]
408;64;1/32;463/16;285;1;ornamentation;0;31;False;[monotonic]
409;62;1/32;927/32;286;1;ornamentation;0;31;False;[monotonic]
410;52;1/4;29;287;3;match;2;31;True;[monotonic]
411;59;1/4;29;287;2;match;1;31;True;[monotonic]
412;64;1/4;29;287;1;match;0;31;True;[monotonic]
415;52;1/4;59/2;289;3;match;2;32;True;[non_monotonic_chords]
416;59;1/4;59/2;289;2;match;1;32;True;[non_monotonic_chords]
