note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
235;70;1/4;20;164;0;repetition;0;11;True;[monotonic]
236;72;1/16;81/4;165;0;adaptation;0;11;False;[monotonic]
237;70;1/16;325/16;166;0;ornamentation;0;11;False;[monotonic]
238;69;1/16;163/8;167;0;repetition;0;11;False;[monotonic]
239;67;1/16;327/16;168;0;ornamentation;0;11;False;[monotonic]
242;70;1/8;41/2;169;0;match;0;11;True;[monotonic]
268;69;1/8;181/8;189;0;match;0;16;True;[monotonic]
269;70;1/16;91/4;190;0;adaptation;0;16;False;[monotonic]
270;69;1/16;365/16;191;0;ornamentation;0;16;False;[monotonic]
271;67;1/16;183/8;192;0;repetition;0;16;False;[monotonic]
272;65;1/16;367/16;193;0;ornamentation;0;16;False;[monotonic]
275;64;1/2;23;194;0;match;0;16;True;[monotonic]
300;70;1/8;205/8;208;0;ornamentation;0;19;True;[monotonic_perfect_fifth_0_0]
301;72;1/16;103/4;209;0;adaptation;0;19;False;[monotonic_perfect_fifth_0_0]
302;70;1/16;413/16;210;0;ornamentation;0;19;False;[monotonic_perfect_fifth_0_0]
303;69;1/16;207/8;211;0;repetition;0;19;False;[monotonic_perfect_fifth_0_0]
304;67;1/16;415/16;212;0;ornamentation;0;19;False;[monotonic_perfect_fifth_0_0]
307;65;1/2;26;213;0;match;0;19;True;[monotonic_perfect_fifth_0_0]
360;70;1/4;61/2;254;0;repetition;0;22;True;[monotonic_perfect_fifth_0_0]
361;72;1/16;123/4;255;0;adaptation;0;22;False;[monotonic_perfect_fifth_0_0]
362;70;1/16;493/16;256;0;ornamentation;0;22;False;[monotonic_perfect_fifth_0_0]
363;69;1/16;247/8;257;0;repetition;0;22;False;[monotonic_perfect_fifth_0_0]
364;67;1/16;495/16;258;0;ornamentation;0;22;False;[monotonic_perfect_fifth_0_0]
367;65;1/4;31;259;0;match;0;22;True;[monotonic_perfect_fifth_0_0]
394;65;1/4;67/2;277;0;match;0;25;True;[non_monotonic]
395;67;1/16;135/4;278;0;ornamentation;0;25;False;[non_monotonic]
396;65;1/16;541/16;279;0;ornamentation;0;25;False;[non_monotonic]
397;64;1/16;271/8;280;0;ornamentation;0;25;False;[non_monotonic]
398;65;1/16;543/16;281;0;ornamentation;0;25;False;[non_monotonic]
401;67;1/2;34;282;0;match;0;25;True;[non_monotonic]
413;67;1/8;281/8;287;0;match;0;26;True;[non_monotonic]
414;72;1/16;141/4;288;0;adaptation;0;26;False;[non_monotonic]
415;70;1/16;565/16;289;0;ornamentation;0;26;False;[non_monotonic]
416;69;1/16;283/8;290;0;ornamentation;0;26;False;[non_monotonic]
417;70;1/16;567/16;291;0;ornamentation;0;26;False;[non_monotonic]
420;67;1/4;71/2;292;0;adaptation;0;26;True;[non_monotonic]
420;67;1/4;71/2;292;0;adaptation;0;27;True;[non_monotonic]
421;69;1/16;143/4;293;0;match;0;27;False;[non_monotonic]
422;67;1/16;573/16;294;0;ornamentation;0;27;False;[non_monotonic]
423;65;1/16;287/8;295;0;adaptation;0;27;False;[non_monotonic]
424;67;1/16;575/16;296;0;ornamentation;0;27;False;[non_monotonic]
427;65;1/4;36;297;0;match;0;27;True;[non_monotonic]
459;66;1/16;623/16;318;0;ornamentation;0;29;True;[non_monotonic]
461;67;1/8;39;319;0;match;0;29;False;[non_monotonic]
462;66;1/8;313/8;320;0;ornamentation;0;29;False;[non_monotonic]
463;67;1/8;157/4;321;0;ornamentation;0;29;False;[non_monotonic]
464;69;1/8;315/8;322;0;ornamentation;0;29;False;[non_monotonic]
467;70;1/4;79/2;323;0;match;0;29;True;[non_monotonic]
596;69;1/8;409/8;414;0;ornamentation;0;36;True;[non_monotonic]
597;70;1/16;205/4;415;0;ornamentation;0;36;False;[non_monotonic]
598;69;1/16;821/16;416;0;ornamentation;0;36;False;[non_monotonic]
599;70;1/16;411/8;417;0;ornamentation;0;36;False;[non_monotonic]
600;72;1/16;823/16;418;0;ornamentation;0;36;False;[non_monotonic]
603;74;1/8;103/2;419;0;match;0;36;True;[non_monotonic]
616;69;1/8;423/8;429;0;match;0;38;True;[non_monotonic]
618;70;1/16;53;430;0;match;0;38;False;[non_monotonic]
619;69;1/16;849/16;431;0;ornamentation;0;38;False;[non_monotonic]
620;70;1/16;425/8;432;0;ornamentation;0;38;False;[non_monotonic]
621;72;1/16;851/16;433;0;ornamentation;0;38;False;[non_monotonic]
622;70;1/8;213/4;434;0;ornamentation;0;38;True;[non_monotonic]
