note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,58,1/4,1/2,1,3,match,0,0,True
2,58,1/16,3/4,2,3,ornamentation,0,0,False
3,57,1/16,13/16,3,3,ornamentation,0,0,False
4,58,1/16,7/8,4,3,ornamentation,0,0,False
5,60,1/16,15/16,5,3,ornamentation,0,0,False
6,58,1/2,1,6,3,repetition,0,0,True
12,60,1/16,11/4,11,3,adaptation,0,1,True
15,58,1/32,93/32,14,3,ornamentation,0,1,False
16,57,1/32,47/16,15,3,ornamentation,0,1,False
17,55,1/32,95/32,16,3,ornamentation,0,1,False
18,53,3/16,3,17,3,match,1,1,True
18,53,3/16,3,17,3,match,1,2,True
20,64,1/16,51/16,18,3,ornamentation,0,2,False
21,62,1/16,13/4,19,3,ornamentation,0,2,False
22,60,1/16,53/16,20,3,ornamentation,0,2,False
23,58,1/32,27/8,21,3,adaptation,0,2,True
27,53,1/4,7/2,25,3,repetition,1,3,True
29,55,1/16,15/4,26,3,adaptation,0,3,False
30,53,1/16,61/16,27,3,ornamentation,0,3,False
31,55,1/32,31/8,28,3,adaptation,0,3,True
30,53,1/16,61/16,27,3,ornamentation,0,4,True
31,55,1/32,31/8,28,3,adaptation,0,4,False
32,53,1/32,125/32,29,3,ornamentation,0,4,False
33,51,1/32,63/16,30,3,ornamentation,0,4,False
34,50,1/32,127/32,31,3,ornamentation,0,4,False
35,48,1/16,4,32,3,match,1,4,True
46,53,1/4,5,41,3,repetition,1,5,True
48,55,1/16,21/4,42,3,adaptation,0,5,False
49,53,1/16,85/16,43,3,ornamentation,0,5,False
50,51,1/16,43/8,44,3,adaptation,0,5,False
51,50,1/16,87/16,45,3,ornamentation,0,5,False
52,48,3/16,11/2,46,3,match,2,5,True
393,55,1/4,27,275,3,match,2,6,True
395,55,1/8,109/4,276,3,ornamentation,0,6,False
396,53,1/8,219/8,277,3,match,0,6,False
397,55,1/16,55/2,278,3,match,2,6,True
396,53,1/8,219/8,277,3,match,0,7,True
397,55,1/16,55/2,278,3,match,2,7,False
399,53,1/16,441/16,279,3,ornamentation,0,7,False
400,55,1/16,221/8,280,3,repetition,0,7,False
401,57,1/16,443/16,281,3,ornamentation,0,7,False
402,58,1/16,111/4,282,3,match,0,7,False
408,55,1/8,113/4,287,3,match,1,7,True
454,53,1/8,63/2,313,3,match,2,8,True
463,55,1/16,32,320,3,match,3,8,False
466,53,1/16,513/16,321,3,ornamentation,0,8,False
467,55,1/16,257/8,322,3,repetition,0,8,False
530,58,1/4,36,376,3,match,2,8,True
535,58,1/4,73/2,379,3,match,2,9,True
537,60,1/16,147/4,380,3,adaptation,0,9,False
538,58,1/16,589/16,381,3,ornamentation,0,9,False
539,60,1/32,295/8,382,3,ornamentation,0,9,True
538,58,1/16,589/16,381,3,ornamentation,0,10,True
539,60,1/32,295/8,382,3,ornamentation,0,10,False
540,58,1/32,1181/32,383,3,ornamentation,0,10,False
541,57,1/32,591/16,384,3,ornamentation,0,10,False
542,55,1/32,1183/32,385,3,ornamentation,0,10,False
544,57,1/4,37,386,3,match,1,10,True
549,60,1/16,151/4,389,3,adaptation,0,11,True
552,58,1/32,1213/32,392,3,ornamentation,0,11,False
553,57,1/32,607/16,393,3,ornamentation,0,11,False
554,55,1/32,1215/32,394,3,ornamentation,0,11,False
555,53,3/16,38,395,3,match,1,11,True
564,53,1/4,77/2,403,3,repetition,1,12,True
566,55,1/16,155/4,404,3,adaptation,0,12,False
567,53,1/16,621/16,405,3,ornamentation,0,12,False
568,55,1/32,311/8,406,3,adaptation,0,12,True
567,53,1/16,621/16,405,3,ornamentation,0,13,True
568,55,1/32,311/8,406,3,adaptation,0,13,False
569,53,1/32,1245/32,407,3,ornamentation,0,13,False
570,51,1/32,623/16,408,3,ornamentation,0,13,False
571,50,1/32,1247/32,409,3,ornamentation,0,13,False
572,48,1/16,39,410,3,match,1,13,True
583,53,1/4,40,419,3,repetition,1,14,True
585,55,1/16,161/4,420,3,adaptation,0,14,False
586,53,1/16,645/16,421,3,ornamentation,0,14,False
587,51,1/16,323/8,422,3,adaptation,0,14,False
588,50,1/16,647/16,423,3,ornamentation,0,14,False
589,48,3/16,81/2,424,3,match,2,14,True
