note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
20;58;1/4;4;12;3;match;2;1;True
21;62;1/4;4;12;3;adaptation;2;1;True
19;55;1/4;4;12;2;match;1;1;True
22;70;1/4;4;12;0;repetition;0;1;True
23;64;1/8;17/4;13;2;ornamentation;0;1;False
24;66;1/8;35/8;14;2;ornamentation;0;1;False
25;55;1/2;9/2;15;3;match;1;1;True
26;67;1/2;9/2;15;2;match;0;1;True
30;66;1/4;21/4;17;2;match;0;2;True
31;67;1/8;11/2;18;2;adaptation;0;2;False
32;66;1/8;45/8;19;2;ornamentation;0;2;False
33;64;1/8;23/4;20;2;match;0;2;False
34;66;1/8;47/8;21;2;ornamentation;0;2;False
35;55;1/2;6;22;3;match;2;2;True
36;67;1/2;6;22;2;match;1;2;True
37;70;1/2;6;22;0;match;0;2;True
203;64;1/4;129/4;104;2;adaptation;0;9;True
204;65;1/8;65/2;105;2;match;0;9;False
205;64;1/8;261/8;106;2;ornamentation;0;9;False
206;62;1/8;131/4;107;2;ornamentation;0;9;False
207;60;1/8;263/8;108;2;ornamentation;0;9;False
208;55;1/4;33;109;4;match;4;9;True
209;58;1/4;33;109;3;adaptation;3;9;True
210;62;1/4;33;109;2;match;2;9;True
208;55;1/4;33;109;1;match;1;9;True
211;70;1/4;33;109;0;match;0;9;True
353;48;1/4;51;174;5;match;4;16;True
354;52;1/4;51;174;4;match;3;16;True
355;55;1/4;51;174;3;match;2;16;True
356;60;1/4;51;174;2;match;1;16;True
357;64;1/4;51;174;1;match;0;16;True
358;69;1/8;205/4;175;1;ornamentation;0;16;False
359;67;1/8;411/8;176;1;ornamentation;0;16;False
360;65;1/8;103/2;177;1;ornamentation;0;16;False
361;64;1/8;413/8;178;1;ornamentation;0;16;False
362;62;1/8;207/4;179;1;ornamentation;0;16;False
363;60;1/8;415/8;180;1;ornamentation;0;16;False
364;46;1/2;52;181;5;match;4;16;True
365;53;1/2;52;181;4;match;3;16;True
366;58;1/2;52;181;3;match;2;16;True
367;62;1/2;52;181;2;match;1;16;True
368;62;1/2;52;181;1;match;0;16;True
447;48;1/4;63;217;5;match;0;19;True
448;54;1/8;253/4;218;3;adaptation;0;19;False
449;53;1/8;507/8;219;1;ornamentation;0;19;False
450;48;1/2;127/2;220;5;repetition;1;19;True
451;57;1/2;127/2;220;1;match;0;19;True
548;55;1/4;81;266;4;match;2;22;True
549;58;1/4;81;266;3;match;1;22;True
550;62;1/4;81;266;1;repetition;0;22;True
551;60;1/8;325/4;267;1;ornamentation;0;22;False
552;62;1/8;651/8;268;1;ornamentation;0;22;False
553;64;1/2;163/2;269;1;match;0;22;True
566;50;1/2;84;278;5;match;5;24;True
566;50;1/2;84;278;4;match;4;24;True
567;53;1/2;84;278;3;match;3;24;True
569;65;1/2;84;278;2;match;2;24;True
568;62;1/2;84;278;1;match;1;24;True
570;69;1/2;84;278;0;match;0;24;True
571;53;1/4;169/2;279;2;ornamentation;0;24;False
572;64;1/4;339/4;280;2;adaptation;0;24;False
573;50;1/2;85;281;5;repetition;2;24;True
574;65;1/2;85;281;2;match;1;24;True
575;69;1/2;85;281;0;repetition;0;24;True
679;55;1/4;100;332;5;match;5;28;True
678;43;1/4;100;332;4;match;4;28;True
680;58;1/4;100;332;3;match;3;28;True
681;62;1/4;100;332;2;repetition;2;28;True
680;58;1/4;100;332;1;match;1;28;True
682;70;1/4;100;332;0;adaptation;0;28;True
683;55;1/8;401/4;333;1;ornamentation;0;28;False
684;54;1/8;803/8;334;1;ornamentation;0;28;False
685;55;1/8;201/2;335;1;match;0;28;False
686;57;1/8;805/8;336;1;ornamentation;0;28;False
687;58;1/8;403/4;337;1;ornamentation;0;28;False
688;60;1/8;807/8;338;1;ornamentation;0;28;False
689;43;1/4;101;339;5;adaptation;3;28;True
691;62;1/4;101;339;2;match;2;28;True
690;58;1/4;101;339;1;match;1;28;True
692;67;1/4;101;339;0;repetition;0;28;True
689;43;1/4;101;339;5;adaptation;3;29;True
691;62;1/4;101;339;2;match;2;29;True
690;58;1/4;101;339;1;match;1;29;True
692;67;1/4;101;339;0;repetition;0;29;True
693;55;1/8;405/4;340;5;repetition;0;29;False
694;57;1/8;811/8;341;1;ornamentation;0;29;False
695;58;1/8;203/2;342;1;repetition;0;29;False
696;60;1/8;813/8;343;2;ornamentation;0;29;False
697;62;1/8;407/4;344;2;repetition;0;29;False
698;64;1/8;815/8;345;2;ornamentation;0;29;False
