note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
30;66;1/4;21/4;17;2;match;0;0;True
31;67;1/8;11/2;18;2;adaptation;0;0;False
32;66;1/8;45/8;19;2;ornamentation;0;0;False
33;64;1/8;23/4;20;2;match;0;0;False
34;66;1/8;47/8;21;2;ornamentation;0;0;False
35;55;1/2;6;22;3;match;2;0;True
36;67;1/2;6;22;2;match;1;0;True
37;70;1/2;6;22;0;match;0;0;True
203;64;1/4;129/4;104;2;adaptation;0;2;True
204;65;1/8;65/2;105;2;match;0;2;False
205;64;1/8;261/8;106;2;ornamentation;0;2;False
206;62;1/8;131/4;107;2;ornamentation;0;2;False
207;60;1/8;263/8;108;2;ornamentation;0;2;False
208;55;1/4;33;109;4;match;4;2;True
209;58;1/4;33;109;3;adaptation;3;2;True
210;62;1/4;33;109;2;match;2;2;True
208;55;1/4;33;109;1;match;1;2;True
211;70;1/4;33;109;0;match;0;2;True
353;48;1/4;51;174;5;match;4;4;True
354;52;1/4;51;174;4;match;3;4;True
355;55;1/4;51;174;3;match;2;4;True
356;60;1/4;51;174;2;match;1;4;True
357;64;1/4;51;174;1;match;0;4;True
358;69;1/8;205/4;175;1;ornamentation;0;4;False
359;67;1/8;411/8;176;1;ornamentation;0;4;False
360;65;1/8;103/2;177;1;ornamentation;0;4;False
361;64;1/8;413/8;178;1;ornamentation;0;4;False
362;62;1/8;207/4;179;1;ornamentation;0;4;False
363;60;1/8;415/8;180;1;ornamentation;0;4;False
364;46;1/2;52;181;5;match;4;4;True
365;53;1/2;52;181;4;match;3;4;True
366;58;1/2;52;181;3;match;2;4;True
367;62;1/2;52;181;2;match;1;4;True
368;62;1/2;52;181;1;match;0;4;True
679;55;1/4;100;332;5;match;5;6;True
678;43;1/4;100;332;4;match;4;6;True
680;58;1/4;100;332;3;match;3;6;True
681;62;1/4;100;332;2;repetition;2;6;True
680;58;1/4;100;332;1;match;1;6;True
682;70;1/4;100;332;0;adaptation;0;6;True
683;55;1/8;401/4;333;1;ornamentation;0;6;False
684;54;1/8;803/8;334;1;ornamentation;0;6;False
685;55;1/8;201/2;335;1;match;0;6;False
686;57;1/8;805/8;336;1;ornamentation;0;6;False
687;58;1/8;403/4;337;1;ornamentation;0;6;False
688;60;1/8;807/8;338;1;ornamentation;0;6;False
689;43;1/4;101;339;5;adaptation;3;6;True
691;62;1/4;101;339;2;match;2;6;True
690;58;1/4;101;339;1;match;1;6;True
692;67;1/4;101;339;0;repetition;0;6;True
689;43;1/4;101;339;5;adaptation;3;7;True
691;62;1/4;101;339;2;match;2;7;True
690;58;1/4;101;339;1;match;1;7;True
692;67;1/4;101;339;0;repetition;0;7;True
693;55;1/8;405/4;340;5;repetition;0;7;False
694;57;1/8;811/8;341;1;ornamentation;0;7;False
695;58;1/8;203/2;342;1;repetition;0;7;False
696;60;1/8;813/8;343;2;ornamentation;0;7;False
697;62;1/8;407/4;344;2;repetition;0;7;False
698;64;1/8;815/8;345;2;ornamentation;0;7;False
699;50;1/4;102;346;5;match;4;7;True
700;57;1/4;102;346;3;match;3;7;True
702;65;1/4;102;346;2;match;2;7;True
701;62;1/4;102;346;1;match;1;7;True
703;69;1/4;102;346;0;adaptation;0;7;True
1138;48;1/4;171;521;5;match;4;10;True
1139;55;1/4;171;521;4;match;3;10;True
1141;64;1/4;171;521;2;repetition;2;10;True
1140;60;1/4;171;521;1;repetition;1;10;True
1142;67;1/4;171;521;0;repetition;0;10;True
1143;62;1/8;685/4;522;0;ornamentation;0;10;False
1144;64;1/8;1371/8;523;0;ornamentation;0;10;False
1145;65;1/8;343/2;524;0;ornamentation;0;10;False
1146;67;1/8;1373/8;525;0;ornamentation;0;10;False
1147;69;1/8;687/4;526;0;ornamentation;0;10;False
1148;71;1/8;1375/8;527;0;ornamentation;0;10;False
1149;72;1/8;172;528;0;adaptation;0;10;False
1150;71;1/8;1377/8;529;0;ornamentation;0;10;False
1151;69;1/8;689/4;530;0;ornamentation;0;10;False
1152;71;1/8;1379/8;531;0;ornamentation;0;10;False
1153;72;1/8;345/2;532;0;adaptation;0;10;False
1154;69;1/8;1381/8;533;0;ornamentation;0;10;False
1155;71;1/8;691/4;534;0;ornamentation;0;10;False
1156;72;1/8;1383/8;535;0;ornamentation;0;10;False
1157;67;1/2;173;536;2;adaptation;1;10;True
1158;74;1/2;173;536;0;match;0;10;True
