note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
104;52;1/32;279/32;78;3;ornamentation;0;1;True;[non_monotonic]
105;55;1/16;35/4;79;3;adaptation;0;1;False;[non_monotonic]
106;54;1/16;141/16;80;3;ornamentation;0;1;False;[non_monotonic]
107;52;1/16;71/8;81;3;match;0;1;False;[non_monotonic]
108;54;1/16;143/16;82;3;ornamentation;0;1;False;[non_monotonic]
109;55;1/4;9;83;3;match;2;1;True;[non_monotonic]
274;53;1/4;93/4;210;3;match;2;5;True;[non_monotonic]
276;55;1/16;47/2;211;3;adaptation;0;5;False;[non_monotonic]
277;53;1/16;377/16;212;3;ornamentation;0;5;False;[non_monotonic]
278;52;1/16;189/8;213;3;ornamentation;0;5;False;[non_monotonic]
279;53;1/16;379/16;214;3;ornamentation;0;5;False;[non_monotonic]
280;52;1/8;95/4;215;3;match;1;5;True;[non_monotonic]
315;55;1/8;207/8;243;3;ornamentation;0;7;True;[non_monotonic]
316;55;1/16;26;244;3;adaptation;0;7;False;[non_monotonic]
317;53;1/16;417/16;245;3;ornamentation;0;7;False;[non_monotonic]
318;52;1/16;209/8;246;3;ornamentation;0;7;False;[non_monotonic]
319;53;1/16;419/16;247;3;ornamentation;0;7;False;[non_monotonic]
320;55;1/4;105/4;248;3;match;1;7;True;[non_monotonic]
524;62;1/16;645/16;367;3;ornamentation;0;9;True;[monotonic]
525;60;1/32;323/8;368;3;ornamentation;0;9;False;[monotonic]
526;59;1/32;1293/32;369;3;ornamentation;0;9;False;[monotonic]
527;57;1/32;647/16;370;3;ornamentation;0;9;False;[monotonic]
528;55;1/32;1295/32;371;3;ornamentation;0;9;False;[monotonic]
529;55;1/2;81/2;372;3;repetition;3;9;True;[monotonic]
