note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
75;48;1/8;23/4;53;4;repetition;3;6;True;[non_monotonic]
76;55;1/8;23/4;53;3;repetition;2;6;True;[non_monotonic]
78;64;1/8;23/4;53;2;repetition;1;6;True;[non_monotonic]
77;60;1/8;23/4;53;1;repetition;0;6;True;[non_monotonic]
79;65;1/32;47/8;54;2;ornamentation;0;6;False;[non_monotonic]
80;64;1/32;189/32;55;2;ornamentation;0;6;False;[non_monotonic]
81;62;1/32;95/16;56;2;ornamentation;0;6;False;[non_monotonic]
82;64;1/32;191/32;57;2;ornamentation;0;6;False;[non_monotonic]
83;53;1/8;6;58;3;match;2;6;True;[non_monotonic]
85;65;1/8;6;58;2;match;1;6;True;[non_monotonic]
84;57;1/8;6;58;1;match;0;6;True;[non_monotonic]
91;67;1/16;103/16;64;2;ornamentation;0;8;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
92;53;1/8;13/2;65;4;match;2;8;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
93;53;1/8;13/2;65;3;match;1;8;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
94;65;1/8;13/2;65;2;repetition;0;8;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
95;64;1/8;53/8;66;2;ornamentation;0;8;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
96;62;1/8;27/4;67;2;adaptation;0;8;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
98;60;1/8;55/8;68;2;adaptation;1;8;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
97;57;1/8;55/8;68;1;repetition;0;8;False;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
99;46;1/4;7;69;4;match;3;8;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
100;58;1/4;7;69;3;match;2;8;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
102;65;1/4;7;69;2;repetition;1;8;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
101;62;1/4;7;69;1;match;0;8;True;[monotonic_perfect_fifth_2_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
333;67;1/8;173/8;201;0;ornamentation;0;27;True;[monotonic_perfect_fifth_0_1]
334;69;1/16;87/4;202;0;repetition;0;27;False;[monotonic_perfect_fifth_0_1]
335;67;1/16;349/16;203;0;ornamentation;0;27;False;[monotonic_perfect_fifth_0_1]
336;65;1/16;175/8;204;0;match;0;27;False;[monotonic_perfect_fifth_0_1]
337;64;1/16;351/16;205;0;ornamentation;0;27;False;[monotonic_perfect_fifth_0_1]
338;46;1/8;22;206;4;match;3;27;True;[monotonic_perfect_fifth_0_1]
339;58;1/8;22;206;3;match;2;27;True;[monotonic_perfect_fifth_0_1]
340;62;1/8;22;206;2;match;1;27;True;[monotonic_perfect_fifth_0_1]
341;65;1/8;22;206;0;match;0;27;True;[monotonic_perfect_fifth_0_1]
422;64;1/16;429/16;250;0;ornamentation;0;33;True;[non_monotonic]
423;65;1/32;215/8;251;0;ornamentation;0;33;False;[non_monotonic]
