note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
6;53;1/4;2;2;3;match;2;0;True;[monotonic_perfect_fifth_2_0]
15;50;1/8;3;9;3;match;2;0;False;[monotonic_perfect_fifth_2_0]
18;52;1/8;25/8;10;3;ornamentation;0;0;False;[monotonic_perfect_fifth_2_0]
19;53;1/8;13/4;11;3;ornamentation;0;0;False;[monotonic_perfect_fifth_2_0]
20;55;1/8;27/8;12;3;ornamentation;0;0;False;[monotonic_perfect_fifth_2_0]
21;57;1/4;7/2;13;3;ornamentation;0;0;True;[monotonic_perfect_fifth_2_0]
22;50;1/4;15/4;14;3;ornamentation;0;1;True;[monotonic_perfect_fifth_3_0]
23;52;1/8;4;15;3;match;3;1;False;[monotonic_perfect_fifth_3_0]
26;54;1/8;33/8;16;3;ornamentation;0;1;False;[monotonic_perfect_fifth_3_0]
27;55;1/8;17/4;17;3;ornamentation;0;1;False;[monotonic_perfect_fifth_3_0]
28;57;1/8;35/8;18;3;ornamentation;0;1;False;[monotonic_perfect_fifth_3_0]
29;59;1/4;9/2;19;3;ornamentation;0;1;True;[monotonic_perfect_fifth_3_0]
