note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
141,43,1/4,43/4,82,4,match,0,0,True
143,46,1/8,11,83,4,match,1,0,False
146,43,1/8,45/4,85,4,match,2,0,False
149,46,1/8,91/8,86,4,ornamentation,0,0,False
150,45,1/8,23/2,87,4,match,1,0,False
154,45,1/8,47/4,89,4,repetition,1,0,False
158,43,3/16,12,91,4,match,1,0,True
209,50,1/4,63/4,119,4,match,1,1,True
211,69,1/8,16,120,4,ornamentation,0,1,False
212,52,1/8,129/8,121,4,match,0,1,False
214,53,1/8,65/4,122,4,match,2,1,False
218,55,1/4,33/2,125,4,match,3,1,True
254,50,1/4,75/4,145,4,match,1,2,True
256,57,1/8,19,146,4,ornamentation,0,2,False
257,52,1/8,153/8,147,4,match,0,2,False
259,53,1/4,77/4,148,4,match,2,2,True
300,50,1/4,87/4,167,4,match,0,3,True
301,52,1/8,22,168,4,match,2,3,False
304,50,1/8,177/8,169,4,ornamentation,0,3,False
305,52,1/8,89/4,170,4,repetition,1,3,False
307,53,1/8,179/8,171,4,match,0,3,False
308,55,1/4,45/2,172,4,match,3,3,True
830,50,1/4,111/2,449,4,match,2,4,True
834,52,1/8,223/4,450,4,match,2,4,False
837,48,1/8,447/8,451,4,ornamentation,0,4,False
838,52,1/8,56,452,4,repetition,0,4,False
839,54,1/8,449/8,453,4,ornamentation,0,4,False
841,55,1/4,225/4,454,4,match,0,4,True
881,57,1/8,235/4,480,4,match,4,5,True
885,55,1/16,471/8,481,4,ornamentation,0,5,False
886,53,1/16,943/16,482,4,ornamentation,0,5,False
887,55,1/16,59,483,4,ornamentation,0,5,False
888,53,1/16,945/16,484,4,ornamentation,0,5,False
889,52,1/16,473/8,485,4,match,0,5,False
890,50,1/16,947/16,486,4,ornamentation,0,5,False
892,52,1/8,237/4,487,4,repetition,2,5,True
890,50,1/16,947/16,486,4,ornamentation,0,6,True
892,52,1/8,237/4,487,4,repetition,2,6,False
895,54,1/8,475/8,488,4,ornamentation,0,6,False
897,55,1/4,119/2,489,4,match,2,6,True
1083,52,3/16,143/2,572,4,match,2,7,True
1088,50,1/16,1149/16,575,4,ornamentation,0,7,False
1089,52,1/16,575/8,576,4,ornamentation,0,7,False
1090,54,1/16,1151/16,577,4,ornamentation,0,7,False
1092,55,1/4,72,578,4,match,1,7,True
1125,57,3/8,149/2,596,4,match,4,8,True
1129,55,1/8,599/8,597,4,adaptation,0,8,False
1131,52,1/8,75,598,4,repetition,2,8,False
1134,54,1/8,601/8,599,4,ornamentation,0,8,False
1136,55,1/4,301/4,600,4,match,2,8,True
1228,53,3/16,163/2,640,4,match,3,9,True
1232,45,1/16,1307/16,641,4,ornamentation,0,9,False
1233,46,1/16,327/4,642,4,ornamentation,0,9,False
1234,48,1/16,1309/16,643,4,ornamentation,0,9,False
1235,50,1/16,655/8,644,4,ornamentation,0,9,False
1236,52,1/16,1311/16,645,4,ornamentation,0,9,False
1237,53,1/4,82,646,4,repetition,4,9,True
1263,53,1/8,167/2,661,4,repetition,4,10,True
1268,52,1/16,669/8,662,4,ornamentation,0,10,False
1269,53,1/16,1339/16,663,4,ornamentation,0,10,False
1270,55,1/16,335/4,664,4,ornamentation,0,10,False
1271,53,1/16,1341/16,665,4,ornamentation,0,10,False
1272,52,1/16,671/8,666,4,ornamentation,0,10,False
1273,50,1/16,1343/16,667,4,ornamentation,0,10,False
1274,48,1/4,84,668,4,match,4,10,True
